"AOU","CBC_Lat_slope","CBC_Lon_slope","CBC_Lon_slope_Error","CBC_Lat_slope_Error"
20,-2553.76062589137,27034.3451499327,6501.92016475432,4382.80783163095
40,14971.6693753936,-57377.2701192543,1163976.5969739,920415.552875681
470,1829.14257448975,-1647.0784608917,15229.906989294,4299.83934529937
580,2094.50764272484,-2549.47380960128,24071.2507064215,26995.3537397086
590,-84.2181986925207,864.195158599329,10349.8892577418,76040.1502438223
640,3977.42803886642,-15223.507102786,16410.9949555595,11175.2293931458
650,1398.35402971497,-5461.83315259171,7843.88693072315,7672.53076759924
690,2125.83711572152,-1695.73291729013,4514.84576844634,5600.66211100326
800,1229.31567868271,-5139.56577943018,13182.652379568,13351.6246312521
1230,2660.18693726056,558.559409071462,12877.1319474902,4338.09352198552
1250,7591.83686755821,595.897653981453,2542.78233069319,10292.8049326106
1260,4933.2591431578,-9217.86540382311,9130.15455884523,9247.50804508616
1290,3032.43612431015,5846.96149320536,4924.22912958664,3649.72856708761
1310,1027.56448478209,3339.2192574714,1913.27064638695,1773.09953127725
1350,6474.5614652943,-81.7708616280645,1969.44740274465,3301.45691755802
1370,6315.02667563428,-12677.058445612,5135.04733162289,2403.1605200759
1390,14492.0990899941,-13774.8885306202,3525.78584604474,4531.13422097374
1400,-1206.10122457775,-171.256320303387,318933.828160485,1207614.68020597
1410,9293.24418862576,-15285.0898688346,38710.137169618,6842.89529358941
1430,15260.8186582869,-11967.0797959013,10415.7579367124,5017.13261436841
1440,3445.17139443173,-6144.64399611934,2374.08013218429,2836.16581777649
1490,950.020392584521,737.624021242397,596469.531602388,728303.668315538
1500,6926.58904488316,-9681.65521875284,14257.2420516585,8230.41922357886
1510,-1170.17929826576,-10105.272215615,5788.4644984975,4385.74755079354
1530,3195.00855946786,2457.54584454637,48700.8433268963,11240.2821470708
1770,-7244.75289479753,25458.1990596507,454980.875060955,314458.342873208
1780,-5862.82680286096,-1369.59514455789,47502.758506335,493721.136433272
1860,-2363.92600740536,1304.96352605535,9729.71626340886,8528.20680574634
1900,-4734.90433935018,23396.5571645831,18584.7667800009,4621.47312215728
1960,3918.75163295332,-6794.23294020593,1513.89556427992,2142.73047820021
2000,-327.103918104467,2688.06278396023,3588.0291595254,3596.94452975279
2001,-147.583730161853,-608.987199777813,4836.2346860581,4900.40233808583
2010,2504.66244706036,-8169.50911876878,1794.95566377496,1706.24039016827
2060,2786.33930037368,-3635.26660104335,94732.6669074364,48372.5688702835
2080,2553.54156819877,10355.6784745862,3947.17410293146,7608.70461906482
2120,3145.43741862114,-3024.11613645702,4204.06990516815,1220.28417024645
2140,4099.51563789153,-12054.3059976902,4275.15710533871,3511.84969286619
2210,3982.36769776311,-7719.36966235158,5007149.15561706,3941915.27444358
2250,2477.83096851846,-16547.9397459603,176447.37482966,200282.532126502
2260,4196.38273272161,-11121.8846247336,7100.43119944239,15618.2175280702
2280,4158.83061162622,3390.01608779755,1935.08212530692,1768.63662115498
2490,237.589573445907,8141.39583375762,27769.1198728807,7506.90726798467
2540,5410.2124998976,-3956.31816452444,1631.67146434542,2528.31631188568
2550,3008.55606956771,-3179.51432495704,2181.18873193247,3659.67312470329
2560,1486.00126428108,-4841.13729973734,1270.11492943251,5669.20761223327
2580,-5100.36315776795,24235.7299887349,21124.826697135,10006.4121764957
2630,-668.136510245773,2280.85599031109,4068.25027389344,2103.3566332278
2640,65.9709907459094,-4770.30118589125,896596.115236684,652266.408388638
2730,-1081.12190466535,8626.57552976039,869.577452415803,1259.24646328644
3120,-1881.69744221257,10.6389907007923,22144.2694070926,1888.35856577279
3160,4411.54727161106,-303.982895645134,669.263804851101,582.766554685593
3190,3344.43483112781,5379.79380001918,8508.9134217422,12283.27294328
3250,2660.04336940246,1539.0064798119,1431.33229399429,1793.25581458108
3260,2772.94151297513,-3032.7273193962,1556.22273466382,2096.76328947009
3320,4476.41784738093,179.229068379726,486.709801553695,248.125297857372
3420,-11771.1503136415,7744.55898007484,4602.31464868773,12804.7763333972
3430,-326.336179812946,-10492.4867584745,9816.07499041851,18353.1181098228
3480,3406.94100342715,-2285.75916002649,4404.97374604273,1565.42028423457
3490,1742.56285189282,-3058.01017891988,62110.8331695703,36764.2683234458
3520,4054.50458490809,5931.25471401562,1033.94745827576,659.603448087382
3550,859.704673004572,1142.72566137272,1557.70416947397,489.755357351666
3560,3387.78703771555,-3879.91579873607,4690.58333102597,1563.81767020987
3600,2212.63773484341,-6582.20254006245,405.224359070533,343.506209872624
3640,533.586777316973,-4644.93592794983,2315.87817959794,2297.6110678979
3670,-5490.28534063791,7290.2253547406,4200.11957834695,3121.76054039489
3900,2521.44303872236,-1206.42807952403,383.103144579626,323.541517534592
4160,927.419377168043,-6341.54862887321,5229.8896056542,6992.47869288516
4171,-653.819720261173,3422.50056038467,6711.22461353125,5811.59404588992
4210,-1222.76454947245,19804.1558454846,15302.0262921301,58622.3009274941
4250,-957.885750239759,-146.328637631394,79369.7358811196,15227.9183003515
4280,9246.30684208967,-1278.66703701197,6040.26309529525,6196.71747838899
4290,452.891759549608,7335.78295722961,3467.17687820332,9601.96488118341
4330,5855.39100675554,10209.4330530361,3913.67100441725,8618.58003275938
4340,5487.14360859189,-14748.3754321959,32936.7332651614,19730.3320084834
4430,4375.27949098344,-29302.8541254904,6037.68325107717,11353.3312968606
4470,4893.13754989808,-4881.39081914119,11150.015219158,11290.2316819831
4480,-41.7561397740668,60.8585698632787,14171.199824931,924.59541427028
4540,-1768.05804332157,3565.68605038472,8074.53143817183,4544.89578392337
5011,88.2606692335901,2706.40935249136,4358.00572041748,1570.99834466074
5390,9413.52603039475,-0.291933928506498,3955308.32955766,2314716.15331851
5400,-6185.41744211425,4008.04699396197,7320245.15874678,6146929.52092824
5450,5792.06138275382,-8997.38543793014,19122.4086564339,17132.2857112052
5480,2714.17039315265,-734.564746342226,993.623738842631,4452.07053844203
5520,1447.46148006018,-4486.58235833428,4845.71301883458,3652.62931687296
5540,1955.20938905703,3294.07717193822,3216.87667644101,1212.08478492901
5620,1063.62011166073,-270.083597906363,31649.6036603746,17786.9013015228
5650,519.450117492098,-942.550859210026,10302.3107730868,7154.86461218644
5730,658.649232887874,-24.0040515803241,5664.48875417869,4704.23383218939
5870,2099.98684486904,-455.036980313421,1317.1156882842,876.617749451412
5900,1175.46037366775,-1432.06392332743,5953.68667055467,4659.6717794382
5950,-2439.14153069931,7674.91102901621,14403.7283446543,4296.95768403445
5960,8611.02339775668,-14891.5527460897,6332.14244836313,8281.55044796727
5970,1126.07687475444,-3822.5009283053,24356.3725567956,19273.6427933163
6040,-14029.9439674349,-15123.2570174266,19196.0388939613,27248.425710406
6050,2904.1251423817,-3230.31519089222,12079356394.4668,11852326727.6354
6070,-196.543320141238,349.892611470646,11159.8723896362,1284.49257609053
6170,10349.8465029584,-214.578515278673,102243.317608345,51439.2199197922
6200,497.696696606445,-27.1461107373891,8688.10473590438,3087.71508697423
6220,-1061.7350094224,-1995.00244081893,647.126146221603,974.625985995737
6280,-17.5277647086697,1328.88558225858,9574.42528626791,9563.32710796127
6450,4436.29210263257,-5299.78500847533,4184.34689106132,5793.22731495887
6460,1213.76723077941,-2219.31875208094,694.056752655767,2014.44919224849
6470,7006.10045866305,-9781.22702674412,12200.2945458034,5277.43982426469
6480,-7.42924684167335,-2756.94166044714,6924.27438786505,6209.02777461341
6680,-917.284461856364,-16.5395973321648,17661.8328600634,3741.68132348481
6690,364.545511672639,-81.7820491359372,15484.1346266157,1142.42467671784
6710,-1540.76029463615,985.102499222287,2189.22498286066,2908.99657739612
6720,831.918810521619,-1443.06173672622,3614.32008681792,3224.48037163416
6730,-1062.67451738889,-20.1312856967435,4702.55847826697,3921.18105435821
6750,1897.08610279115,1583.45585212155,29322.4290394697,26668.1648792558
6810,3091.09180717539,-10947.4543776579,1580.93561423879,1785.84837619367
6830,9196.51985555123,5955.92944604606,6475.58832568108,3925.41612036777
6850,1314.96915425925,-2537.02301621408,2376.53269053472,4569.06958349582
7000,-386.673308418689,13560.5259756268,21370.2500825939,38758.8007257009
7050,3158.83542697051,2497.29311093763,842.378436182856,953.231047592909
7080,-39.5387389592329,261.936847756269,12280.5046993693,4882.64755860444
7190,2676.44171220081,-2725.24464043842,1823.24238727797,973.951534433204
7260,3225.66878684607,-3122.04738960287,506.518590386548,292.852485795127
7490,1965.87661894387,-3565.81141011187,788.099041447438,719.514927067834
7540,3731.72574621196,1453.50251106572,3113.07733535045,1066.68272292455
7550,442.935905344508,1511.569887342,2411.58741451131,12352.1469183142
7610,10795.2412188919,-2492.33492869365,1507.68789242247,3067.28218844618
