Genus,Species,Family,Common.name,AOU,Banding_timing,Start,End,Migration,Partial,Note,Age.cohort.timing,Flocking,Flock.size,Flock.structure,Family.grouping,Altitudinal,Comments,Timing.of.migration,Flight.call.from.BOTW,MFC.from.oldbird.org,X,Maximum.flock.size,Maximum.flock.size..conspecifics.only.,Maximum.flock.size.while.travelling,Male.body.mass..g.,Migration.distance,Timing.of.migration.1,References
Empidonax ,virescens,Tyrannidae,Acadian Flycatcher,4650,Adults first,230,320,Complete,No,,Adults first,,,,,,,night,,No,NA,1,1,NA,12.5,short,night,Sterling 1999
Empidonax ,alnorum,Tyrannidae,Alder Flycatcher,4661,Adults first,230,270,Complete,No,,Adults first,,,,,,,night,,No,NA,30,1,1,10.7,short,,Hutto 1994; Lowther 2000; Austin & Smith 1972
Selasphorus,sasin,Trochilidae,Allen's Hummingbird,4340,Adults first,160,260,Partial,Yes,,Adults first,No,,,,,,day,,,NA,1,1,1,2.85,short,,Mitchell 2000
Recurvirostra,americana,Recurvirostridae,American Avocet,2250,,NA,NA,Partial,Yes,,,Sometimes,Small,,,,Flocks may be medium,night,,,NA,100,100,400,101.6,short,day,Gill et al. 2002; Sutton 1946
Botaurus,lentiginosus,Ardeidae,American Bittern,1900,,NA,NA,Partial,Yes,"Some residency, but only assumed",,,,,,,,day,,,NA,1600,66,75,371.8,short,day,Telfair 2006; Grubb 1976; Mora 1992; Custer & Osborne 1978
Anas,rubripes,Anatidae,American Black Duck,1330,Concurrent,230,360,Partial,Yes,,Concurrent,Common,Small,Tight,,,,night,,,NA,30,30,25,335,short,night,Gammonley 1996; Kear 2005; Munro 1957; Bellrose 1976
Fulica,americana,Rallidae,American Coot,2210,,NA,NA,Partial,Yes,,Concurrent,Sometimes,Small,Loose,,,,night,,,NA,3000,3000,1000,49.5,long,night,Warnock & Gill 1996; Ruiz et al. 1989; Kus 1986; Gerasimov & Gerasimov 2000;
Corvus,brachyrhynchos,Corvidae,American Crow,4880,,NA,NA,Partial,Yes,,,,,,,,,day,,No,NA,NA,NA,NA,18.5,short,,Martin & Carlson 1998; Repasky 1996
Pluvialis,dominica,Charadriidae,American Golden-Plover,2720,,NA,NA,Complete,No,,Adults first,Common,,,,,,night,Yes,,NA,1,1,NA,17,short,night,Vickery 1996; Grzybowski 1983a; Pulliam & Mills 1977; Dean et al. 1998; Byers et al. 1995
Spinus,tristis,Fringillidae,American Goldfinch,5290,Concurrent,220,350,Partial,Yes,,,Common,,,,,,day,,Yes,NA,350,80,NA,24.02,short,night,Gryzbowski 1983; Jones & Cornely 2002; Canales-Delgaldillo et al. 2008; Pulliam & Mills 1977; Thompson et al. 1991
Falco,sparverius,Falconidae,American Kestrel,3600,Concurrent,240,310,Partial,Yes,,Concurrent,Sometimes,Small,Loose,,,Adult males migrate after adult females and young,day,,,NA,6,6,NA,18.6,short,night,Mowbray 1997; Byers et al. 1995; Fleetwood 1951
Haematopus,palliatus,Haematopodidae,American Oystercatcher,2860,,NA,NA,Partial,Yes,,,,,,No,,,,,,NA,27,15,NA,31.4,short,night,Falls & Kopachena 2010; Barbour 1941; Piper 1990; Cooke 1914
Anthus,rubescens,Motacillidae,American Pipit,6970,Concurrent,240,320,Complete,No,,Concurrent,Common,Medium,Loose,,,Flocks may be small,day,,No,NA,50000,19500,100,327,long,,Burger 1996; Burger & Gochfeld 1991; Patton 1988; Wells 1994
Setophaga ,ruticilla,Parulidae,American Redstart,6870,Adults first,220,320,Complete,No,,Juveniles first,,,,,,,night,Yes,Yes,NA,1,1,NA,10.4,long,,Curson et al. 1996; Pitocchelli 1995
Turdus,migratorius,Turdidae,American Robin,7610,Concurrent,210,350,Partial,Yes,,,Common,,,,,,night,,Yes,NA,350,350,25000,77.3,short,night,Witmer 1996; Renkensmeyer et al. 2008; Sallabanks & James 1999; Chavez-Ramirez & Slack 1994; Skeate 1987; Farley et al. 2008; Witmer et al. 1997; Baird & Nisbet 1959
Spizelloides,arborea,Passerellidae,American Tree Sparrow,5590,Concurrent,250,320,Complete,No,,,Common,,,,,,night,Yes,Yes,NA,1,1,NA,50.5,short,,Walters et al. 2002; Jones & Bock 2003
Pelecanus,erythrorhynchos,Pelecanidae,American White Pelican,1250,,NA,NA,Partial,Yes,,,Common,Medium,,,,,day,No,,NA,200,200,NA,474,long,night,Muller & Storer 1999; Brackbill 1952; Gabrielson 1914
Mareca,americana,Anatidae,American Wigeon,1370,Concurrent,230,300,Complete,No,Year-round range seasonal populations differ,Concurrent,Common,Large,Tight,,,Adult males migrate before adult females and young.,day,Yes,,NA,1000,1000,NA,796.1,short,night,Dale & Thompson 2001; Kear 2005
Scolopax,minor,Scolopacidae,American Woodcock,2280,Concurrent,270,360,Partial,No,,,Sometimes,Small,Loose,,,,night,,,NA,96,52,150,111,long,night,Duffy 1983; Hatch 2002; Gudmundsson et al. 1992; Duffy 1989; Alerstam 1985
Sterna ,paradisaea,Laridae,Arctic Tern,710,,NA,NA,Complete,No,,,Common,Small,,,,,night,,,NA,70000,7000,1000,119.6,short,day,Jaramillo & Burke 1999; Bray et al. 1979; Peer & Bollinger 1997; Baird & Nisbet 1960; Proescholdt 1961
Myiarchus,cinerascens,Tyrannidae,Ash-throated Flycatcher,4540,,NA,NA,Partial,Yes,,,,,,,,,night,,No,NA,1,1,1,33.5,long,night,Hespenheide 1980; Morton 1980; Lanyon 1997
Vermivora,bachmanii,Parulidae,Bachman's Warbler,,,NA,NA,Complete,No,declared extinct by some,,,,,,,,night,,,NA,NA,NA,NA,10,short,,Beason & Wauer 1998; Curson et al. 1994
Calidris ,bairdii,Scolopacidae,Baird's Sandpiper,2410,Adults first,190,260,Complete,No,,Adults first,Common,Small,,,,,,Yes,,NA,3,3,NA,48.4,long,night,Moskoff 1995
Centronyx,bairdii,Passerellidae,Baird's Sparrow,5450,,NA,NA,Complete,No,,,Sometimes,Small,,,,,night,Yes,Yes,NA,2,2,2,20.4,short,night,"Mattsson et al. 2009; Eaton 1953, 1958; Leck 1972; Tramer & Kemp 1982; Post 1978; Hamel & Kirkconnell 2005"
Haliaeetus,leucocephalus,Accipitridae,Bald Eagle,3520,,NA,NA,Partial,Yes,,Concurrent,Uncommon,Small,,,,,day,No,,NA,300,300,2,4230,short,day,Knight and Knight 1986; Buehler 2000; Restani et al. 2000; Cooper et al. 1991; Kerlinger 1989
Icterus ,galbula,Icteridae,Baltimore Oriole,5070,Adults first,220,320,Complete,No,,Concurrent,Common,Small,,,,,night,,No,NA,200,200,NA,26.01,short,,Wooton 1996
Patagioenas,fasciata,Columbidae,Band-tailed Pigeon,3120,,NA,NA,Partial,Yes,,,Common,Small,,,,,day,,,NA,1,1,NA,13.4,short,night,"Lowther 2005; Byers et al. 1995; Grzybowski 1983a,b"
Riparia ,riparia,Hirundidae,Bank Swallow,6160,,NA,NA,Complete,No,,,Common,Medium,,,,Flocks can be large,day,,Yes,NA,1,1,5,185.3,long,day,Warkentin et al. 2005; Mueller et al. 2000; Kerlinger 1989
Limosa,lapponica,Scolopacidae,Bar-tailed Godwit,2500,,NA,NA,Complete,No,,Adults first,Common,Small,,,,Flocks may be medium,night,Yes,,NA,3000,3000,100,48,long,night,Dunn & Argo 1995; Stiles & Smith 1977;  Loftin 1991
Hirundo ,rustica,Hirundidae,Barn Swallow,6130,,NA,NA,Complete,No,,,Common,Medium,,,,Flocks can be large,day,,Yes,NA,75,75,NA,33.2,long,night,Davis 1957; Norment et al. 1998; Marsh 1964
Bucephala,islandica,Anatidae,Barrow's Goldeneye,1520,,NA,NA,Complete,No,Pottentially limited residency,,,,,,,,night,,,NA,40,40,NA,1143,short,,Eadie et al. 1995; Kear 2005; Bellrose 1976
Setophaga,castanea,Parulidae,Bay-breasted Warbler,6600,Adults first,220,320,Complete,No,,,Common,,,,,Mixed Species flocks,night,,Yes,NA,7,7,NA,10,long,night,Curson et al. 1994; Lowther et al. 1999; Rappole & Warner 1980; Morton 1980; Thomas 1993; Gauthreaux 1972; Moore et al. 1990; Stewart 1983; Hamel & Kirkconnell 2005
Artemisiospiza,belli,Passerellidae,Bell's Sparrow,5739,,NA,NA,Partial,Yes,,Concurrent,Common,Small,,,Some,,,,,NA,11,2,NA,22.5,long,,Curson et al. 1994; Eaton 1953; Latta & Wunderle 1996; Rappole & Warner 1980; Morton 1980; Van Horn & Donovan 1994; Tramer & Kemp 1982; Stewart 1983; Hamel & Kirkconnell 2005; Kirkconnell et al. 1996; Rodewald & Brittingham 2002
Vireo,bellii,Vireonidae,Bell's Vireo,6330,Concurrent,240,350,Partial,Yes,,,,,,,,,night,,No,NA,30,2,NA,11.25,long,night,Hutto 1994; Austin & Smith 1972; Gardali & Ballard 2000; Forcey 2002
Megaceryle,alcyon,Alcedinidae,Belted Kingfisher,3900,Concurrent,220,330,Partial,Yes,,,No,,,,,,night,No,No,NA,1,1,1,143.6,short,night,Kelly et al. 2009
Toxostoma,bendirei,Mimidae,Bendire's Thrasher,7080,,NA,NA,Partial,Yes,,,,,,,,,,,,NA,NA,30000,100,222,long,night,Burger & Gochfeld 2002; Braune & Giskin 1982
Thryomanes,bewickii,Troglodytidae,Bewick's Wren,7190,,NA,NA,Partial,Yes,,,,,,,,,,,No,NA,13,2,1,9.9,short,,Austin & Smith 1972; Kennedy & White 1997
Catharus,bicknelli,Turdidae,Bicknell's Thrush,7571,Concurrent,250,350,Complete,No,,,,,,,,,night,Yes,Yes,NA,1,1,NA,43.3,long,night,Bevier et al. 2005; Thomas 1993; Moore et al. 1990
Haematopus,bachmani,Haematopodidae,Black Oystercatcher,2870,,NA,NA,Partial,Yes,,Concurrent,Common,Small,,,,,,,,NA,350,NA,NA,12.3,short,night,Rotenberry et al. 1999; Byers et al. 1995; Thompson et al. 1991
Leucosticte,atrata,Fringillidae,Black Rosy-Finch,5250,,NA,NA,Partial,Yes,,,Common,,,,Mostly,,day,,,NA,27,27,NA,41.7,short,night,Marshall 1960; Greenlaw 1996; Barbour 1941
Melanitta ,americana,Anatidae,Black Scoter,1630,,NA,NA,Complete,No,,Concurrent,Common,,,,,Adult males migrate before adult females and young.,,Yes,,NA,500,500,600,1500,long,night,Brown & Fredrickson 1997; Kehoe et al. 1989; Kear 2005; Stott & Olson 1972; Munro 1957; Larned & Zwiefelhofer 2001; Bellrose 1976; Byrd et al. 1974
Rynchops,niger,Laridae,Black Skimmer,800,,NA,NA,Partial,Yes,,Concurrent,Common,Medium,,,,,,,,NA,128,128,NA,20.7,long,night,Scharf & Kren 2010; Enstrom 1992; Jaramillo & Burke 1999; Morton 1980; Morton 1979; Gauthreaux 1972; Moore et al. 1990
Cypseloides,niger,Apodidae,Black Swift,4220,,NA,NA,Complete,No,Limited residency reported,,Common,Medium,,,,,day,,,NA,650,150,38,935,short,day,McCrimmon et al. 2001; Caldwell 1986; Masters 1992; Custer & Osborn 1978; Erwin 1983; Smith 1995; Gonzalez 1997; Bennetts & Dreitz 1997
Chlidonias,niger,Laridae,Black Tern,770,,NA,NA,Complete,No,,Adults first,Sometimes,Small,,,,,night,,,NA,1000,1000,4000,4800,long,day,Tacha 1988; Tacha et al. 1992; Cooper et al. 1991; Beason 1978; Lovvorn & Kirkpatrick 1982; Walkinshaw  1960; Breckenbridge & Cline 1967
Arenaria,melanocephala,Scolopacidae,Black Turnstone,2840,,NA,NA,Complete,No,,Adults first,Common,Small,,,,Flocks may be medium,day,,,NA,800,800,NA,326,long,,Gratto-Trevor 2000; Colwell et al. 1995; McNeil et al. 1985; Munro 1957
Coragyps,atratus,Accipitridae,Black Vulture,3260,,NA,NA,Partial,Yes,,,,,,,Some,,day,No,,NA,15,15,10,1989,short,day,"Kerlinger 1989; Buckley 1996, 1999;"
Mniotilta,varia,Parulidae,Black-and-white Warbler,6360,Adults first,250,330,Complete,No,,,,,,,,,night,,Yes,NA,17,2,NA,9,long,,Holmes et al. 2005; Curson et al. 1994; Eaton 1953; Latta & Wunderle 1996; Willis 1973; Hall 1981; Stewart 1983; Hamel & Kirkconnell 2005
Pluvialis,squatarola,Charadriidae,Black-bellied Plover,2700,,NA,NA,Complete,No,,Concurrent,Common,Small,,,,,night,Yes,,NA,3,3,NA,12.8,short,,Herkert et al. 2002; Byers et al. 1995; McNair 1998
Dendrocygna,autumnalis,Anatidae,Black-bellied Whistling Duck,1770,,NA,NA,Partial,Yes,,Concurrent,Common,Large,Tight,Yes,,,night,Yes,,NA,10000,2100,NA,1426,long,,Ryder & Alisaukas 1995; Jonsson & Afton 2008; pers. com; Kear 2005
Coccyzus,erythropthalmus,Cuculidae,Black-billed Cuckoo,3880,Concurrent,220,290,Complete,No,,,No,,,,,,night,No,Yes,NA,5000,5000,500,27.4,long,night,Hussell & Montgomerie 2002; Grzybowski 1983; West et al. 1968; Cooke 1914
Vireo ,atricapilla,Vireonidae,Black-capped Vireo,6300,,NA,NA,Complete,No,,Juveniles first,No,,,,,,night,,No,NA,40,NA,NA,16.4,short,,Curson & Guguen 1998; Hutto 1987
Archilochus,alexandri,Trochilidae,Black-chinned Hummingbird,4290,Adults first,220,300,Partial,Yes,,Concurrent,No,,,,,,day,,No,NA,1,1,1,3.25,long,,Baltosser & Russell 2000
Spizella,atrogularis,Passerellidae,Black-chinned Sparrow,5650,,NA,NA,Partial,Yes,,,Common,Small,,,,,,,,NA,26,1,NA,71.6,short,night,Winkler et al. 1995; Smith et al. 2000; Farley et al. 2008
Nycticorax ,nycticorax,Ardeidae,Black-crowned Night-Heron,2020,,NA,NA,Partial,Yes,,,Sometimes,Small,,,,,night,Yes,,NA,800,800,50000,35.1,long,day,Witmer et al. 1997; Witmer 1996; Chavez-Ramirez & Slack 1994; Andrle 1966;
Pheucticus,melanocephalus,Cardinalidae,Black-headed Grosbeak,5960,Adults first,230,350,Partial,Yes,,,Common,,,,Some,,,,,NA,18,18,30,92.1,long,night,Jackson & Jackson 2000; Dunning 2008
Rissa ,tridactyla,Laridae,Black-legged Kittiwake,400,,NA,NA,Partial,Yes,,Concurrent,Common,Small,,,,,,,,NA,12,12,NA,35.2,long,night,Rising & Flood 1998; Morton 1979; Gauthreaux 1972
Himantopus,mexicanus,Recurvirostridae,Black-necked Stilt,2260,,NA,NA,Partial,Yes,,,Common,,,Sometimes,,,,,,NA,289,289,5000,24.1,long,night,Hicklin & Gratto-Trevor 2010; Manseau & Ferron 1991; Boates 1980; Gilliland 1992; Ashmole 1970; Tripp & Collazo 1997; Hope & Shortt 1944; van Tyne 1945
Setophaga,caerulescens,Parulidae,Black-throated Blue Warbler,6540,Adults first,240,320,Complete,No,,,Common,Small,Loose,,,Mixed Species flocks,night,,Yes,NA,NA,1,NA,12.8,long,,Curson et al. 1994; Richardson & Brauning 1995; Morton 1980; Greenberg 1981; Hall 1981; Stewart 1983; Rodewald & Brittingham 2002; Bakermans 2008;
Setophaga,nigrescens,Parulidae,Black-throated Gray Warbler,6650,Adults first,230,350,Complete,No,,,Common,,,,,Mixed Species flocks,night,,,NA,50,3,NA,10.4,long,,Vidal et al. 1994; Curson et al. 1994; Pearson 1997; Hutto 1987; Austn & Smith 1972; Rappole & King 1999; Gram 1998; King & Rappole 2000
Setophaga,virens,Parulidae,Black-throated Green Warbler,6670,,NA,NA,Complete,No,,,Common,,,,,Mixed Species flocks,night,,Yes,NA,NA,1,NA,12.3,long,night,Morton 1980; Curson et al. 1996; Pitocchelli 1993; Stewart 1983; Bakermans 2008
Amphispiza,bilineata,Passerellidae,Black-throated Sparrow,5730,,NA,NA,Partial,Yes,,Concurrent,Common,,,,,,,,,NA,28,13,7,15.5,long,night,Warkentin & Morton 2000; Hespenheide 1980; Morton 1980; Petit 1999; Moore et al. 1990; Moore 1990
Vireo,altiloquus,Vireonidae,Black-whiskered Vireo,6230,,NA,NA,Partial,No,,,Common,,,,Some,,night,,No,NA,NA,NA,NA,8.5,short,night,Kus et al. 2010
Setophaga,fusca,Parulidae,Blackburnian Warbler,6620,Adults first,210,350,Complete,No,,Concurrent,Common,,,,,Mixed Species flocks,night,,Yes,NA,40,9,NA,8.35,long,night,Bakermans 2008; Hamel 2000; Curson et al. 1994; Jones et al. 2000; Rodewald & Brittingham 2002
Setophaga,striata,Parulidae,Blackpoll Warbler,6610,Concurrent,230,310,Complete,No,,,Common,Small,,,,,night,Yes,Yes,NA,30,3,NA,10.8,long,,Willis 1973; Gramm 1998; Eaton 1953; Powell 1979; Buskirk et al. 1972; Jones et al. 2000; Latta & Wunderle 1996; King & Rappole 2000; Hutto 1994; Kricher 1995; Curson et al. 1994; Farley et al. 2008; Moore et al. 1990; Stewart 1983; Hamel & Kirkconnell 2005; Rodewald & Brittingham 2002; Bakermans 2008; Rappole & Morton 1985
Passerina,caerulea,Cardinalidae,Blue Grosbeak,5970,Adults first,250,340,Partial,Yes,,,Common,Small,,,,,night,,Yes,NA,NA,250000,1,28.1,long,night,Gauthreaux 1972; Temple 2002; Basili & Temple 1999
Polioptila ,caerulea,Polioptilidae,Blue-gray Gnatcatcher,7510,Concurrent,220,330,Partial,Yes,,,,,,,,,day,,No,NA,9,NA,NA,140,long,night,Hayes & Fox 1991; Houston & Bowen 2001
Vireo,solitarius,Vireonidae,Blue-headed Vireo,6290,Concurrent,250,350,Complete,No,,,No,,,,,,night,,No,NA,NA,2,NA,12.1,short,night,Barlow et al. 1999
Spatula,discors,Anatidae,Blue-winged Teal,1400,Concurrent,220,300,Complete,No,Pottentially limited residency,Concurrent,Common,Small,Tight,,,Adult males migrate before adult females and young.,night,Yes,,NA,510,510,15,31.2,short,day,Ryan & Collins 2000; Land 1962
Vermivora,cyanoptera,Parulidae,Blue-winged Warbler,6410,Adults first,240,350,Complete,No,,,,,,,,,night,,Yes,NA,30,11,NA,8.9,long,night,Gram 1998; Hutto 1994; Williams 1996; Hall 1981; Stewart 1983; Rodewald & Brittingham 2002; Dobbs & Martin 1998
Dolichonyx ,oryzivorus,Icteridae,Bobolink,4940,Concurrent,230,290,Complete,No,,,Common,Large,,,,,night,Yes,Yes,NA,50,50,60,14.3,short,night,Knox & Lowther 2000a; West et al. 1968
Bombycilla ,garrulus,Bombycillidae,Bohemian Waxwing,6180,,NA,NA,Partial,Yes,,,Common,Medium,,,,Small and large flocks also noted,day,Yes,Yes,NA,1,1,40,22.1,short,,Chu & Walsberg 1999
Chroicocephalus,philadelphia,Laridae,Bonaparte's Gull,600,,NA,NA,Complete,No,,,Common,Large,,No,,Juveniles take different route,day,No,,NA,12,12,25,554.9,short,,Andres & Falxa 1995; Frank 1982; Byrd et al. 1974; Jewett 1914
Branta,bernicla,Anatidae,Brant,1730,,NA,NA,Complete,No,,Concurrent,Common,Small,Tight,,,,night,Yes,,NA,15000,4915,50,1252,long,,Mowbray 2002; Lovvorn 1989; Kear 2005; Haramis et al. 1985; 1994; Thompson 1973
Euphagus,cyanocephalus,Icteridae,Brewer's Blackbird,5100,,NA,NA,Partial,Yes,,,Common,,,,,,day,Yes,Yes,NA,1000,1000,NA,16.3,short,day,Dawson 1997; Clement 1993;
Spizella,breweri,Passerellidae,Brewer's Sparrow,5620,Concurrent,150,300,Complete,No,,,Common,Small,,,,,night,,,NA,2,2,150,112.7,short,day,Tobalske 1997
Numenius,tahitiensis,Scolopacidae,Bristle-thighed Curlew,2680,,NA,NA,Complete,No,,Adults first,Common,Small,,,,,night,,,NA,350,350,NA,176,short,,Molina et al. 2009; Donahue 1974; Spaans 1978
Selasphorus,platycercus,Trochilidae,Broad-tailed Hummingbird,4320,Adults first,210,300,Partial,Yes,,,,,,,,,day,,No,NA,NA,1,NA,3.2,short,,Calder & Calder 1992; Austin & Smith 1972
Buteo,platypterus,Accipitridae,Broad-winged Hawk,3430,Juveniles first,250,350,Complete,No,,Concurrent,Common,Large,,,,,day,No,,NA,1,1,5000,357,long,day,Goodrich et al. 1996; Smith 1980; Tramer & Kemp 1982; Kerlinger & Gauthreaux 1985a; Maransky & Bildstein 2001; Kerlinger 1989
Certhia,americana,Certhiidae,Brown Creeper,7260,Concurrent,250,330,Partial,Yes,,,Common,Small,,,,,night,No,No,NA,200,200,50,153,short,,Schwertner et al. 2002; Wetmore 1920; Land 1962
Pelecanus,occidentalis,Pelecanidae,Brown Pelican,1260,,NA,NA,Partial,Yes,,,Common,Medium,,,,,day,No,,NA,1,1,NA,59.2,short,night,Bookhout 1995
Toxostoma,rufum,Mimidae,Brown Thrasher,7050,Adults first,250,350,Partial,Yes,,,,,,,,,night,,No,NA,50000,9000,10,1147,long,,Cramp  & Simmons 1983; Pierotti & Good 1994; Monaghan 1980; Patton 1988; Alerstam & Gudmundsson 1999
Molothrus ,ater,Icteridae,Brown-headed Cowbird,4950,Concurrent,200,350,Partial,Yes,,,Common,,,,,,day,,Yes,NA,1000,NA,NA,22.3,short,day,Johnson 2002; Martin et al. 1974
Calidris,subruficollis,Scolopacidae,Buff-breasted Sandpiper,2620,,NA,NA,Complete,No,,,Sometimes,Small,,,,,night,,,NA,16,16,NA,207.8,long,night,Lowther et al. 2001; Rompré & McNeil 1996; Ashmole 1970
Bucephala,albeola,Anatidae,Bufflehead,1530,,NA,NA,Complete,No,,Concurrent,Common,Large,Tight,,,,night,,,NA,7000,7000,1200,3232,long,night,Gawlik & Slack 1996; Mowbray et al. 2002; Kear 2005; Elder & Elder 1949; Koerner et al. 1974; McLandress & Raveling 1981; Cooper et al. 1991; Bellrose 1976;
Icterus ,bullockii,Icteridae,Bullock's Oriole,5080,,NA,NA,Complete,No,Very limited residency reported,,Common,Small,,,,,night,No,,NA,200,200,NA,14.7,short,,Middleton 1993; Farley et al. 2008
Athene,cunicularia,Strigidae,Burrowing Owl,3780,,NA,NA,Partial,Yes,,,,,,,,,,,No,NA,30,30,NA,30,long,night,Hudon 1999
Larus ,californicus,Laridae,California Gull,530,,NA,NA,Complete,No,Very limited residency reported,Juveniles first,No,,,Sometimes,,,day,No,,NA,200,200,6,14.4,long,,Brown et al. 1992; Forcey 2002; Land 1962
Stellula,calliope,Trochilidae,Calliope Hummingbird,4360,Adults first,180,280,Complete,No,,Adults first,No,,,,,,day,,No,NA,1,1,1,2.68,long,,Calder & Calder 1994
Branta,canadensis,Anatidae,Canada Goose,1720,,NA,NA,Partial,Yes,,Concurrent,Common,Medium,Tight,,,Flock size varies greatly,night,Yes,,NA,2900,2900,150,1519,long,night,Reed et al. 1998; Briggs et al. 1987; Kear 2005; Denson & Bentley 1962; Munro 1957; Alerstam et al. 1990; Bellrose 1976; Alerstam & Gudmundsson 1999;
Cardellina,canadensis,Parulidae,Canada Warbler,6860,Adults first,200,330,Complete,No,,Juveniles first,Sometimes,Small,,,,,night,,Yes,NA,50000,22450,300,566,long,,Ryder 1993; Patton 1988
Aythya,valisineria,Anatidae,Canvasback,1470,Concurrent,220,350,Complete,No,,Concurrent,Common,Small,Tight,,,Adult males migrate before adult females and young.,,,,NA,15000,15000,350,1054,long,night,Kessel et al. 2002; Kear 2005
Setophaga,tigrina,Parulidae,Cape May Warbler,6500,Adults first,200,320,Complete,No,,Adults first,Common,Small,,,,Mixed Species flocks,night,,Yes,NA,1,1,NA,15.32,long,,Pitocchelli et al. 1997; Stewart 1983
Hydroprogne,caspia,Laridae,Caspian Tern,640,,NA,NA,Partial,Yes,,Concurrent,Sometimes,Small,,Common,,Flocks may be medium,day,Yes,,NA,2000,2000,1000,23.9,long,day,Brown & Brown 1995; 1996; Cooke 1914
Haemorhous,cassinii,Fringillidae,Cassin's Finch,5180,,NA,NA,Partial,Yes,,Adults first,Common,,,,Some,,,,,NA,NA,NA,NA,17.8,short,,Dunning et al. 1999
Tyrannus,vociferans,Tyrannidae,Cassin's Kingbird,4480,,NA,NA,Partial,Yes,,,Sometimes,Small,,,,,day,,,NA,NA,2,NA,39.2,short,night,Regosin 1998; Riggs 1955
Peucaea,cassinii,Passerellidae,Cassin's Sparrow,5780,,NA,NA,Partial,Yes,,,,,,,,,night,,No,NA,8363,8363,NA,3290,short,,Shields 2002; Duffy 1983;
Vireo,cassinii,Vireonidae,Cassin's Vireo,6291,,NA,NA,Partial,No,,,,,,,,,,,,NA,26,2,NA,12.5,short,night,Morse 1970; Rappole & Warner 1980; Gaddis 1980; Hopp et al. 1995; Farley et al. 2008; Moore et al. 1990; Hamel & Kirkconnell 2005
Bubulcus,ibis,Ardeidae,Cattle Egret,2001,,NA,NA,Partial,Yes,,,Common,Small,,,,,day,No,,NA,1,1,3,241,short,night,Davis & Kushlan 1994; Paynter 1953
Bombycilla ,cedrorum,Bombycillidae,Cedar Waxwing,6190,Concurrent,200,330,Partial,Yes,,,Common,Small,,,,Medium and large flocks also noted,day,Yes,Yes,NA,3000,3000,1000,58.6,short,day,Witmer 2002; Austin & Rea 1976
Setophaga,cerulea,Parulidae,Cerulean Warbler,6580,Adults first,230,340,Complete,No,,,,,,,,,night,,Yes,NA,100,3,NA,11.9,short,night,Morse 1970; Curson et al. 1994; Rodewald et al. 1999; Latta & Wunderle 1996; Farley et al. 2008; Stewart 1983; Rodewald & Brittingham 2002
