Genus,Species,Family,Common.name,AOU,Banding_timing,Start,End,Migration,Partial,Note,Age.cohort.timing,Flocking,Flock.size,Flock.structure,Family.grouping,Altitudinal,Comments,Timing.of.migration,Flight.call.from.BOTW,MFC.from.oldbird.org,X,Maximum.flock.size,Maximum.flock.size..conspecifics.only.,Maximum.flock.size.while.travelling,Male.body.mass..g.,Migration.distance,Timing.of.migration.1,References
Passerina,amoena,Cardinalidae,Lazuli Bunting,5990,Adults first,210,300,Complete,No,,Adults first,Common,,,,,,night,,,NA,30,NA,NA,46.1,long,,Calvert et al. 1979; Ortega & Hill 2010
Ixobrychus,exilis,Ardeidae,Least Bittern,1910,,NA,NA,Partial,Yes,,,,,,,,,,,,NA,1,NA,NA,716,short,,Watts 1995; Stevenson 1957
Empidonax ,minimus,Tyrannidae,Least Flycatcher,4670,Adults first,200,320,Complete,No,,Adults first,,,,,,,night,,No,NA,NA,1,1,12.8,long,,Whitehead & Taylor 2002; Hespenheide 1980; Morton 1980; Bakermans 2008
Calidris,minutilla,Scolopacidae,Least Sandpiper,2420,Adults first,200,340,Complete,No,,,Common,,,,,,night,,,NA,NA,30000,NA,45,long,night,Colwell & Jehl 1994; Hurlbert et al. 1984; Burger & Howe 1975; Mahoney & Jehl 1985
Sternula,antillarum,Laridae,Least Tern,740,,NA,NA,Complete,No,,Concurrent,Common,Small,Loose,Common,,,,,,NA,200,200,NA,123.2,short,night,Howell 1972; Lanyon 1995; Baird & Nisbet 1959
Ammospiza,leconteii,Passerellidae,LeConte's Sparrow,5480,Concurrent,240,340,Complete,No,,,No,,,,,,night,,Yes,NA,41,7,NA,9.6,long,night,Morton 1980; Thomas 1993; Rimmer & McFarland 1998; Tramer & Kemp 1982; Jones et al. 2000; Vidal et al. 1994; Hobson & Van Wilgenburg 2006; Gauthreaux 1972; Moore et al. 1990; Hall 1981; Stewart 1983; Rodewald & Brittingham 2002; Bakermans 2008
Chordeiles,acutipennis,Caprimulgidae,Lesser Nighthawk,4210,,NA,NA,Partial,Yes,,,Sometimes,Small,Loose,,,,day,No,No,NA,10,10,NA,13,short,,Visher 1910; Groschupf & Thomson 1998
Aythya,affinis,Anatidae,Lesser Scaup,1490,,NA,NA,Complete,No,,Concurrent,Common,Large,Tight,,,,night,No,,NA,30000,4200,NA,2725,long,night,Ely & Dzubin 1994; Ely 1992; Kear 2005; Cooper et al. 1991
Tringa,flavipes,Scolopacidae,Lesser Yellowlegs,2550,,NA,NA,Complete,No,,Adults first,Common,Small,,,,,night,,,NA,155,47,NA,200,short,,Stiles & Smith 1977; Shealer 1999; Forcey 2009
Melanerpes ,lewis,Picidae,Lewis's Woodpecker,4080,,NA,NA,Partial,Yes,,,Common,Small,,,,Flocks may be medium,day,No,,NA,NA,NA,1,89.4,short,night,Conway 1995
Melospiza ,lincolnii,Passerellidae,Lincoln's Sparrow,5830,Adults first,230,330,Complete,No,,,,,,,,,night,Yes,Yes,NA,8,2,NA,10.3,long,night,Reitsma et al. 2010; Jones 1977; Stewart 1983; Rodewald & Brittingham 2002; Bakermans 2008;
Egretta,caerulea,Ardeidae,Little Blue Heron,2000,,NA,NA,Partial,Yes,,,,Small,,,,,,,,NA,100,7,NA,296,short,,Custer & Osborn 1978; Erwin 1983; Frederick 1997; Smith 1995
Hydrocoloeus,minutus,Laridae,Little Gull,601,,NA,NA,Complete,No,,,Sometimes,Small,,,,,day,,,NA,150,150,21000,18.1,long,day,Turner 89; Brown & Brown 1999; Thomas 1993; van Tyne 1945; Recher & Recher 1966; Anderson et al. 2004
Lanius,ludovicianus,Laniidae,Loggerhead Shrike,6220,Adults first,190,300,Partial,Yes,,,No,,,,,,day,,No,NA,7,7,7,7497,long,day,Hunt 1987; Lewis 1995
Numenius,americanus,Scolopacidae,Long-billed Curlew,2640,,NA,NA,Complete,No,,Concurrent,Common,Small,,Sometimes,,,,,,NA,5,5,120,649.2,long,,Cuthbert & Wires 1999
Limnodromus,scolopaceus,Scolopacidae,Long-billed Dowitcher,2320,,NA,NA,Complete,No,,Adults first,Common,Small,,,,,night,Yes,,NA,100,100,100,269.6,long,,Gudmundsson et al. 2002; Wiley & Lee 1998
Asio,otus,Strigidae,Long-eared Owl,3660,,NA,NA,Partial,Yes,,Juveniles first,No,,,,,Irruptive,night,,No,NA,50,6,NA,6,short,day,Johnson et al. 1988; Ellison 1992; Hutto 1994; Gram 1998; Austin & Smith 1972; Rodewald & Brittingham 2002; Farley et al. 2008; Hamel & Kirkconnell 2005
Clangula,hyemalis,Anatidae,Long-tailed Duck,1540,,NA,NA,Complete,No,Pottentially limited residency,Concurrent,Common,Small,Tight,,,Evidence of medium migratory flocks in europe,night,Yes,,NA,60,60,NA,1130,short,night,Eadie et al. 2000; Beauchamp 1992; Kear 2005; Bellrose 1976
Stercorarius,longicaudus,Stercorariidae,Long-tailed Jaeger,380,,NA,NA,Complete,No,,,Sometimes,Small,,,,,day,,,NA,1,1,NA,148.8,short,,Haug et al. 1993
Parkesia,motacilla,Parulidae,Louisiana Waterthrush,6760,Adults first,200,300,Complete,No,,,No,,,,,,night,,Yes,NA,50,7,NA,9.87,long,,Curson et al. 1994; Ladd & Gass 1999; Vidal et al. 1994; King & Rappole 2000; Rappole et al. 1999; Johnson et al. 1988
Leiothlypis,luciae,Parulidae,Lucy's Warbler,6430,,NA,NA,Complete,No,,Concurrent,,,,,,,,,,NA,12,12,1,68.8,short,night,Cavitt & Haas 2000
Geothlypis,tolmiei,Parulidae,MacGillivray's Warbler,6800,Concurrent,220,320,Complete,No,,Juveniles first,,,,,,,,,,NA,50000,10000,11,432.4,long,,Maniscalco et al. 2001; Sealy 1973; Hoffman et al. 1981; Camphuysen & Webb 1999; Alerstam & Gudmundsson 1999; Hatch & Robertson 2009
Setophaga,magnolia,Parulidae,Magnolia Warbler,6570,Concurrent,220,330,Complete,No,,Juveniles first,Common,Small,Loose,,,Mixed Species flocks,night,Yes,Yes,NA,50,2,NA,9.1,long,,Vidal et al. 1994; Curson et al. 1994; Wright et al. 1998; Hutto 1987; Austin & Smith 1972; Rappole & King 1999; King & Rappole 2000; Gram 1998; Greenberg et al. 2001; Dobbs & Martin 1998
Anas,platyrhynchos,Anatidae,Mallard,1320,,NA,NA,Partial,Yes,Only hybrids in banding data,Concurrent,Common,Small,Tight,,,Adult males migrate before adult females and young.,night,Yes,,NA,85,25,100,620,short,night,Dubowy 1996; Munro 1957
Limosa,fedoa,Scolopacidae,Marbled Godwit,2490,,NA,NA,Complete,No,,Adults first,Common,,,,,,,,,NA,NA,3,65,429.2,long,,Wiley & Lee 1999; Duffy 1989; Bélisle & Giroux 1995; Pruett-Jones 1980
Cistothorus,palustris,Troglodytidae,Marsh Wren,7250,Concurrent,220,300,Partial,Yes,,,,,,,,,night,,No,NA,2,2,NA,10.6,short,night,Kroodsma & Verner 1997; Taylor et al. 1983
Falco,columbarius,Falconidae,Merlin,3570,Juveniles first,230,300,Partial,Yes,,Juveniles first,Sometimes,Small,Loose,,,,day,,,NA,50,NA,NA,19.8,short,,Hill & Gould 1997; Monson 1942; Grzybowski 1983; 
Ictinia,mississippiensis,Accipitridae,Mississippi Kite,3290,,NA,NA,Complete,No,,Concurrent,Common,Large,,,,,day,Yes,,NA,100,100,1000,245,long,day,Parker 1999; Kerlinger & Gauthreaux 1985b; Kerlinger 1989
Sialia ,currucoides,Turdidae,Mountain Bluebird,7680,,NA,NA,Complete,No,Very limited residency reported,Concurrent,Common,,,Common,,,day,,Yes,NA,43,43,NA,29.6,long,,Power & Lombardo 1996; Power 1966
Charadrius ,montanus,Charadriidae,Mountain Plover,2810,,NA,NA,Complete,No,Pottentially limited residency,,Common,Small,,,,,night,Yes,,NA,15,15,NA,26.3,short,night,Post and Greenlaw 1994; Byers et al. 1995
Zenaida,macroura,Columbidae,Mourning Dove,3160,,NA,NA,Partial,Yes,,,Common,Small,,,,,day,No,No,NA,350,NA,NA,13.6,short,,Eichinger & Moriarty 1985; Johnson et al. 2002; Cody 1971; Thompson et al. 1991
Geothlypis,philadelphia,Parulidae,Mourning Warbler,6790,Adults first,210,320,Complete,No,,,,,,,,,night,Yes,Yes,NA,100,100,22,529,short,,Mallory et al. 2008
Leiothlypis,ruficapilla,Parulidae,Nashville Warbler,6450,Adults first,230,340,Complete,No,,Concurrent,Common,Small,,,,Mixed Species flocks,night,,Yes,NA,NA,NA,NA,24.4,long,day,Robbins & Brenda 1999
Colaptes,auratus,Picidae,Northern Flicker,,,NA,NA,Partial,Yes,red-shafted/yellow-shafted seperated in banding,,Common,Small,Loose,,,Flocks may be medium,night,,No,NA,1,1,100,88,long,night,Melvin & Gibbs 1996; Stang & McRae 2009
Morus,bassanus,Sulidae,Northern Gannet,1170,,NA,NA,Partial,Yes,,Juveniles first,,,,,,Adults more resident,,,,NA,8,8,NA,25,long,,Mowbray 1999; Hennessey et al. 2003; Gauthreaux 1972; Moore et al. 1990; Rodewald & Brittingham 2002
Accipiter,gentilis,Accipitridae,Northern Goshawk,3340,,NA,NA,Mostly Resident,Yes,Southerly range expansion in winter,Juveniles first but considerable overlap,,,,,Some,,day,No,,NA,1,1,1,704,short,day,Squires & Reynolds 1997; Mueller et al. 2000; Kerlinger 1989
Circus ,hudsonius,Accipitridae,Northern Harrier,3310,,NA,NA,Partial,Yes,,Juveniles first,No,,,No,,,day,,,NA,1,1,10,372,long,day,MacWhirter & Bildstein 1996; Mueller et al. 2000; Cooper et al. 1991; Kerlinger 1989
Setophaga,americana,Parulidae,Northern Parula,6480,Adults first,250,320,Complete,No,,,Common,Small,,,,Mixed Species flocks,night,,Yes,NA,26,18,NA,10.3,long,night,Eaton 1953; Wilson 1996; Curson et al. 1994; Howell 1972; Latta & Wunderle 1996; Farley et al. 2008; Hamel & Kirkconnell 2005; Walkinshaw & Baker 1946
Anas,acuta,Anatidae,Northern Pintail,1430,Concurrent,220,300,Complete,No,Very limited residency reported,Concurrent,Common,Large,Tight,,,Adult males migrate before adult females and young.,night,Yes,,NA,4000,4000,1000,1006,long,night,Austin & Miller 1995; Kear 2005; Rave & Cordes 1993; Breault & Butler 1992; Miller 1983; Baldassarre & Bolen 1984; Cooper et al 1991; Combs & Botlzer 1991;
Stelgidopteryx,serripennis,Hirundidae,Northern Rough-winged Swallow,6170,,NA,NA,Partial,Yes,,,Common,Medium,,,,,day,,Yes,NA,1,1,1,565,short,day,Steenhof 1998; Kerlinger 1989
Aegolius,acadicus,Strigidae,Northern Saw-whet Owl,3720,Concurrent,260,320,Partial,Yes,,Adults first,No,,,,,Irruptive,night,,Yes,NA,500,500,15,563,short,night,Brua 2002; Munro 1957; Bellrose 1976; Brackbill 1952
Anas,clypeata,Anatidae,Northern Shoveler,1420,,NA,NA,Complete,No,,Concurrent,Common,Small,Tight,,,Adult males migrate before adult females and young.,night,,,NA,2500,2500,100,811,long,day,Mowbray 1999; Turnbull & Baldassarre 1987; Kear 2005; Breault & Butler 1992; Baldassarre & Bolen 1984; Bellrose 1976; Combs & Botzler 1991
Lanius,borealis,Laniidae,Northern Shrike,6210,,NA,NA,Complete,No,,Concurrent,Sometimes,Small,,Sometimes,,,day,,No,NA,7,7,NA,4900,short,,North 1994; Bailey 1922
Parkesia,noveboracensis,Parulidae,Northern Waterthrush,6750,Adults first,200,310,Complete,No,,,Common,Small,Loose,,,,night,,Yes,NA,22,7,NA,10.1,long,night,Morse 2004; Curson et al. 1994; Lerner & Stauffer 1998; Jones et al. 2000; Hall 1981; Stewart 1983; Hamel & Kirkconnell 2005; Rodewald & Brittingham 2002; Bakermans 2008
Contopus,cooperi,Tyrannidae,Olive-sided Flycatcher,4590,,NA,NA,Complete,No,,,No,,,,,,night,,No,NA,NA,1,NA,34.5,long,,Altman & Sallabanks 2000; Leck 1972
Leiothlypis,celata,Parulidae,Orange-crowned Warbler,6460,Concurrent,250,320,Partial,Yes,,,Sometimes,Small,,,,,night,,Yes,NA,12,12,NA,44,short,,Reynold et al. 1999; Kennedy 1911
Icterus ,spurius,Icteridae,Orchard Oriole,5060,Adults first,200,310,Complete,No,,,Common,Small,,,,,night,,No,NA,1000,NA,NA,24.6,long,day,Macdougall-Shackleton et al. 2000; Behle 1944; Martin et al. 1974
Pandion,haliaetus,Pandionidae,Osprey,3640,,NA,NA,Partial,Yes,,,No,,,,,,day,,,NA,100,100,NA,409,long,,Hoffman et al. 1981; Moskoff & Bevier 2002; Cramp & Simmons 1983
Seiurus,aurocapilla,Parulidae,Ovenbird,6740,Adults first,250,320,Complete,No,,,,,,,,,night,,Yes,NA,15,2,NA,8.96,long,night,Curson et al. 1994; Hall 1994; Morse 1970; Graves 2006; Hall 1981; Stewart 1983; Hamel & Kirkconnell 2005; Rodewald & Brittingham 2002; Bakermans 2008
Pluvialis,fulva,Charadriidae,Pacific Golden-Plover,2721,,NA,NA,Complete,No,,Adults first,Common,,,,,,night,Yes,,NA,1,1,NA,19.5,short,night,"Green et al. 2002; Pulliam & Mills 1977; Grzybowski 1983a,b; Byers et al. 1995"
Gavia,pacifica,Gaviidae,Pacific Loon,100,,NA,NA,Complete,No,,,Common,Small,Loose,,,,day,No,,NA,300,300,NA,18.6,long,night,Naugler 1993; Dowling 1956; Byers et al. 1995
Empidonax ,difficilis,Tyrannidae,Pacific-slope Flycatcher,4641,,NA,NA,Complete,No,,Adults first,,,,,,,,,,NA,NA,1,NA,11.4,short,,Lowther 2000; Gram 1998
Passerina,ciris,Cardinalidae,Painted Bunting,6010,Adults first,250,350,Complete,No,,,,,,,,,night,,Yes,NA,40,8,NA,8.4,short,night,Hejl et al. 2002; Morrison et al. 1987; Morse 1970; Rappole & King 1999
Setophaga,palmarum,Parulidae,Palm Warbler,6720,,NA,NA,Complete,No,seperated yellow/brown in banding,,Common,Small,,,,Mixed Species flocks,night,,Yes,NA,11,2,NA,10.3,long,night,Latta & Wunderle 1996; Guzy & Linville 1999; Stewart 1983; Hamel & Kirkconnell 2005
Stercorarius,parasiticus,Stercorariidae,Parasitic Jaeger,370,,NA,NA,Complete,No,,,Sometimes,Small,,,,,day,,,NA,1,1,1,1806,short,,Parmelee 1992; 
Calidris,melanotos,Scolopacidae,Pectoral Sandpiper,2390,,NA,NA,Complete,No,,Adults first,Common,Small,,,,,night,,,NA,2000000,2000000,NA,33.2,long,night,Sealy 1973; Rubega et al. 2000; Briggs et al. 1987; Ford et al. 2004; Alerstam & Gudmundsson 1999; Mahoney & Jehl 1985
Urile,pelagicus,Phalacrocoracidae,Pelagic Cormorant,1230,,NA,NA,Partial,Yes,,,Sometimes,Small,Loose,,,,day,No,,NA,1,1,NA,213.4,short,night,West & Hess 2002; Stang & McRae 2009
Falco,peregrinus,Falconidae,Peregrine Falcon,3560,,NA,NA,Partial,Yes,,,,,,,,,day,,,NA,34,34,1,21.4,short,night,Byers et al. 1995; Boysen et al. 2001; Nolan et al. 2002
Phainopepla,nitens,Bombycillidae,Phainopepla,6200,,NA,NA,Complete,No,,Concurrent,Common,Small,Loose,,,,,,,NA,1,1,40,109.9,short,day,Straight & Cooper 2000
Vireo,philadelphicus,Vireonidae,Philadelphia Vireo,6260,,NA,NA,Complete,No,,,Common,,,,,Mixed species flocks,night,,No,NA,1,1,NA,8.6,short,night,Gryzbowski 1995
Podilymbus,podiceps,Podicipedidae,Pied-billed Grebe,60,,NA,NA,Partial,Yes,,,Common,Small,,,,Flocks may be medium or large,night,,,NA,12,12,NA,115.2,long,day,Handel & Gill 2001; Storer 1951; Jewett 1914
Spinus,pinus,Fringillidae,Pine Siskin,5330,Concurrent,250,350,Partial,Yes,Irruptive,,Common,Medium,,,,Large flocks noted,day,,Yes,NA,1610,1610,30,34.8,long,night,Lyon & Montgomerie 1995; Orlowski & Bedski 2007
Setophaga,pinus,Parulidae,Pine Warbler,6710,Adults first,240,340,Partial,Yes,,,Sometimes,Small,,,,Mixed Species flocks,night,,Yes,NA,5,1,NA,18.9,short,night,Hamel & Kirkconnell 2005; Anich et al. 2010; Dunning 2008; Kirkconnell et al. 1996; Eaton 1953;
Charadrius,melodus,Charadriidae,Piping Plover,2770,Adults first,190,300,Complete,No,,,Common,Small,,,,,,,,NA,200,200,50,130,short,day,Otis et al. 2008; Leopold 1943; Hennesy & Van Camp 1963
Vireo,plumbeus,Vireonidae,Plumbeous Vireo,6292,,NA,NA,Partial,Yes,,,No,,,,,,,,,NA,40,NA,NA,14.3,long,,Goguen & Curson 2002; Hutto 1987
Stercorarius,pomarinus,Stercorariidae,Pomarine Jaeger,360,,NA,NA,Complete,No,,,Sometimes,Small,,,,,day,,,NA,1,1,1,53.9,short,night,McCallum 1994
Falco,mexicanus,Falconidae,Prairie Falcon,3550,,NA,NA,Partial,Yes,,,Sometimes,Small,,,,,day,,,NA,NA,155,250,28.1,long,night,Grzybowski 1983; Briskie 2009
Setophaga,discolor,Parulidae,Prairie Warbler,6730,Adults first,200,330,Partial,Yes,,,Sometimes,Small,Loose,,,,night,,Yes,NA,41,20,NA,13.1,short,night,Curson 94; Morse 1970; Latta & Wunderle 1996; Hunt & Flaspohler 1998; Gaddis 1980; Wilz & Giampa 1978; Post 1978; Hobson & Van Wilgenburg 2006; Rappole & Warner 1980; Hudon 1999; Farley et al. 2008; Stewart 1983; Rodewald & Brittingham 2002; Dobbs & Martin 1998
Protonotaria,citrea,Parulidae,Prothonotary Warbler,6370,,NA,NA,Complete,No,,Concurrent,Sometimes,Small,,,Some,,night,,Yes,NA,1,1,NA,13.75,long,,Curson et al. 1994; Mayfield 1992;
Haemorhous,purpureus,Fringillidae,Purple Finch,5170,,NA,NA,Partial,Yes,,Juveniles first,Common,,,,Some,,day,,Yes,NA,15,3,NA,29.1,short,night,Dobbs et al. 1998; Marshall 1960
Porphyrio,martinica,Rallidae,Purple Gallinule,2180,,NA,NA,Partial,Yes,,,,,,,,,night,,,NA,125,125,NA,39.7,long,night,Parmelee 1992; Myers & Myers 1979; Hayes & Fox 1991; Holland & Williams 1975
Progne ,subis,Hirundidae,Purple Martin,6110,Concurrent,200,250,Complete,No,,Concurrent,Common,Medium,,,,Flocks can be large,day,,No,NA,250,250,NA,37.9,long,night,Norment & Shackleton 2008; Graul 1967
Alca,torda,Alcidae,Razorbill,320,,NA,NA,Dispersive,No,,Concurrent,,,,Yes,,Offspring pair with parent at first but then split during migration,,No,,NA,12971,1145,NA,734.5,short,,Lavers et al. 2009; Camphuysen & Webb 1999; 
Calidris,canutus,Scolopacidae,Red Knot,2340,,NA,NA,Complete,No,,,Common,Small,,,,Flocks may be medium,night,Yes,,NA,NA,300,NA,375,long,night,Gill et al. 1998; Blankinship & King 1984
Phalaropus,fulicarius,Scolopacidae,Red Phalarope,,,NA,NA,Complete,No,,Adults first,Common,Small,,,,Flocks may be medium,night,,,NA,330,158,NA,112.5,long,,Shealer & Burger 1993; Gochfeld et al. 1998; Shealer 1996; Duffy 1986
Mergus,serrator,Anatidae,Red-breasted Merganser,1300,,NA,NA,Complete,No,,Concurrent,Common,Small,Tight,,,Adult males migrate before adult females and young.,night,,,NA,300,300,NA,1117,long,,Bordage & Savard 1995; Byrd et al. 1974; Sutton & Rowland 1946; Bellrose 1976
Sphyrapicus ,ruber,Picidae,Red-breasted Sapsucker,4030,,NA,NA,Partial,Yes,,,Sometimes,Small,,,Some,,,,,NA,174,174,NA,170,short,,Hayes & Fox 1991; Robinson et al. 1999; Engilis et al. 1998; Holland & Williams 1975
Vireo,olivaceus,Vireonidae,Red-eyed Vireo,6240,Adults first,220,320,Complete,No,,Concurrent,Common,,,,,Juvenile migration period more protracted. Mixed species flocks,night,No,No,NA,NA,2,NA,17.9,short,,Chace et al. 2002; Hamel & Kirkconnell 2005; Latta & Wunderle 1996
Cardellina,rubrifrons,Parulidae,Red-faced Warbler,6900,,NA,NA,Complete,No,Limited residency possible,,Common,Small,,,,Mixed Species flocks,,,,NA,NA,10,100,116.1,short,,Ewins 1999
Melanerpes ,erythrocephalus,Picidae,Red-headed Woodpecker,4060,,NA,NA,Partial,Yes,,Adults first,Common,Small,,,,,night,Yes,Yes,NA,1,1,1,415,short,night,Poole et al. 2005
Sphyrapicus ,nuchalis,Picidae,Red-naped Sapsucker,4021,Adults first,230,300,Partial,Yes,,,,,,,,,,,,NA,1,1,1,321.7,short,night,Eddleman & Conway 1998
Podiceps,grisegena,Podicipedidae,Red-necked Grebe,20,,NA,NA,Complete,No,,,Common,Small,,,,,night,,,NA,20,20,NA,186.8,long,,Senner & McCaffery 1997; Jewett 1914; Brown 1921
Phalaropus,lobatus,Scolopacidae,Red-necked Phalarope,2230,Adults first,190,270,Complete,No,,Adults first,Common,,,,,,night,,,NA,800,200,10000,123,long,night,Burger & Gochfeld 1991; Erwin 1978; Stiles & Smith 1977; Blokpoel et al. 1989; Duffy 1986; Nisbet 2002; Spear et al. 2007; Duffy 1989; Alerstam 1985
Buteo,lineatus,Accipitridae,Red-shouldered Hawk,3390,,NA,NA,Partial,Yes,,Juveniles first but considerable overlap,Uncommon,Small,Loose,,,,day,No,,NA,1,1,3,543.5,short,day,Dykstra et al. 2008; Mueller et al. 2000; Kerlinger & Gauthreaux 1985b; Kerlinger 1989
Buteo,jamaicensis,Accipitridae,Red-tailed Hawk,3370,,NA,NA,Partial,Yes,,Juveniles first,Uncommon,Small,Loose,,,,day,No,,NA,1,1,9,1028,long,day,Preston & Beane 1993; Mueller et al. 2000; Cooper et al. 1991; Kerlinger 1989
Gavia,stellata,Gaviidae,Red-throated Loon,110,,NA,NA,Complete,No,,Adults first,Common,Small,Loose,,,,day,Yes,,NA,100,20,3000,12,long,night,Knapton 1994; Byers et al. 1995; Forcey 2002
Agelaius ,phoeniceus,Icteridae,Red-winged Blackbird,4980,,NA,NA,Partial,Yes,,,Common,Small,,,,,day,,Yes,NA,1,1,1,1100,long,day,Booms et al. 2008; Kerlinger 1989
Aythya,americana,Anatidae,Redhead,1460,,NA,NA,Complete,No,Limited residency reported,,Common,Small,Tight,,,,,,,NA,15000,800,1000,838,long,night,Austin et al. 1998; Kear 2005; Munro 1957; Bellrose 1976; Thompson 1973
Larus ,delawarensis,Laridae,Ring-billed Gull,540,,NA,NA,Partial,Yes,,,Common,Medium,Loose,,,Flocks may be small,day,Yes,,NA,12333,12333,1000,70.5,short,day,Jaramillo & Burke 99; Yazukawa and Searcy 1995; Werner et al. 2005; Brugger et al. 1992; Proescholdt 1961
Aythya,collaris,Anatidae,Ring-necked Duck,1500,,NA,NA,Complete,No,Potentially very limited residency,Concurrent,Common,Small,Tight,,,Adult males migrate before adult females and young.,night,,,NA,1000,1000,35,1078,long,,Woodin & Michot 2002; Kear 2005; Michot et al. 1994
Calidris,ptilocnemis,Scolopacidae,Rock Sandpiper,2356,,NA,NA,Complete,No,,,Common,Small,,,,Flocks may be medium,day,,,NA,4,4,5,155.8,short,night,Keppie & Whitting 1994; Krohn et al. 1977
Salpinctes,obsoletus,Troglodytidae,Rock Wren,7150,,NA,NA,Partial,Yes,,,,,,,Some,,night,,,NA,NA,2,NA,16.5,short,night,Lowther et al. 2000; Austin & Smith 1972
Pheucticus,ludovicianus,Cardinalidae,Rose-breasted Grosbeak,5950,,NA,NA,Complete,Yes,,Concurrently,Sometimes,Small,,,,,night,Yes,Yes,NA,56,56,NA,46.1,long,night,Nol & Blanken 1999; Burger 1997
Sterna ,dougallii,Laridae,Roseate Tern,720,,NA,NA,Partial,Yes,,Concurrent,Common,,,,,,,,,NA,30,NA,NA,36.3,short,,Flood 2002; Jaramillo & Burke 1999; Austin & Smith 1972; Calvert et al. 1979
Anser,rossii,Anatidae,Ross's Goose,1700,,NA,NA,Complete,No,,Concurrent,Common,Large,Tight,Yes,,,,Yes,,NA,1000,1000,100,908,short,night,Leschack et al. 1997; Paulus 1984; Kear 2005; Bellrose 1976
Buteo,lagopus,Accipitridae,Rough-legged Hawk,3470,,NA,NA,Complete,No,,,Uncommon,Small,,,,,day,No,,NA,1,1,10,1027,long,day,Bechard & Swem 2002; Mueller et al. 2000; Cooper et al. 1991; Kerlinger 1989
Thalasseus,maximus,Laridae,Royal Tern,650,,NA,NA,Partial,Yes,,Concurrent,Common,Small,,Common,,,,,,NA,12333,NA,2000,94.5,long,day,Twedt & Crawford 1995; Werner et al. 2005
Corthylio,calendula,Regulidae,Ruby-crowned Kinglet,7490,Adults first,240,330,Complete,No,,,,,,,Some,,night,No,No,NA,30,30,100,35.9,long,,Moskoff & Montgomerie 2002; Myers & Myers 1979
Archilochus,colubris,Trochilidae,Ruby-throated Hummingbird,4280,Adults first,220,300,Complete,No,,Adults first,No,,,,,,day,,No,NA,1,1,1,3.08,long,day,Robinson et al. 1996
Oxyura,jamaicensis,Anatidae,Ruddy Duck,1670,,NA,NA,Partial,Yes,,,Common,Small,,,,,night,,,NA,400,400,NA,1712,short,night,Mallory & Metz 1999; Kear 2005; Bellrose 1976; Anderson et al. 1974
Arenaria,interpres,Scolopacidae,Ruddy Turnstone,2830,,NA,NA,Complete,No,,Adults first,Common,Small,,,,Flocks may be medium,,,,NA,NA,100,NA,100,long,night,Takekawa & Warnock 2000
Selasphorus,rufus,Trochilidae,Rufous Hummingbird,4330,Adults first,170,270,Complete,No,,Adults first,No,,,,,,day,,No,NA,1,1,NA,3.27,long,,Healy & Calder 2006
Euphagus,carolinus,Icteridae,Rusty Blackbird,5090,Adults first,250,320,Complete,No,,Concurrent,Common,Medium,,,,Flocks can be large,day,,Yes,NA,50,50,60,12.7,short,night,Knox & Lowther 2000b; West et al. 1968
Xema,sabini,Laridae,Sabine's Gull,620,,NA,NA,Complete,Yes,,Adults first,Common,Small,,,,,night,,,NA,1,1,1,47.7,short,day,Yosef 1996
