Genus,Species,Family,Common.name,AOU,Banding_timing,Start,End,Migration,Partial,Note,Age.cohort.timing,Flocking,Flock.size,Flock.structure,Family.grouping,Altitudinal,Comments,Timing.of.migration,Flight.call.from.BOTW,MFC.from.oldbird.org,X,Maximum.flock.size,Maximum.flock.size..conspecifics.only.,Maximum.flock.size.while.travelling,Male.body.mass..g.,Migration.distance,Timing.of.migration.1,References
Oreoscoptes,montanus,Mimidae,Sage Thrasher,7020,Concurrent,220,300,Complete,No,,,Sometimes,,,,,,,,,NA,10000,1000,NA,1747,short,,Good 1998; Hudson & Furness 1989
Ammospiza,caudacuta,Passerellidae,Saltmarsh Sparrow,5490,,NA,NA,Partial,Yes,,,,,,,,,night,,Yes,NA,NA,5,NA,8.1,short,night,Olson & Martin 1999; Curson et al. 1994; Hutto 1987; Wauer 1973
Calidris,alba,Scolopacidae,Sanderling,2480,,NA,NA,Complete,No,,Adults first,Common,Small,,,,,night,,,NA,NA,NA,150,282.1,long,night,McCaffery & Gill 2001; Byrd et al. 1974; Gerasimov & Gerasimov 2000
Antigone,canadensis,Gruidae,Sandhill Crane,2060,,NA,NA,Partial,Yes,,Concurrent,Sometimes,Small,Tight,Yes,,,day,Yes,,NA,27,NA,NA,13.1,short,night,Barbour 1941; Byers et al. 1995; Carey et al. 2008; Allaire & Fisher 1975
Thalasseus,sandvicensis,Laridae,Sandwich Tern,670,,NA,NA,Partial,Yes,,,Common,,,,,,,,,NA,1,1,NA,63.4,short,day,Cade & Atkinson 2002
Passerculus,sandwichensis,Passerellidae,Savannah Sparrow,5420,Concurrent,250,350,Partial,Yes,,,Common,,,,,,night,,Yes,NA,50,2,NA,8.06,long,night,Ammon & Gilbert 1999; Powell 1979; Buskirk et al. 1972; King & Rappole 2000; Curson et al. 1994; Hutto 1994; Rappole & Warner 1980; Leck 1975; Vidal et al. 1994; Johnson et al. 1988; Hall 1981; Hamel & Kirkconnell 2005; Rodewald & Brittingham 2002
Sayornis ,saya,Tyrannidae,Say's Phoebe,4570,,NA,NA,Partial,Yes,,,Sometimes,Small,,,,,day,,,NA,1,1,NA,21.2,long,day,Shukman & Wolf 1998
Piranga ,olivacea,Cardinalidae,Scarlet Tanager,6080,Adults first,270,320,Complete,No,,Concurrent,Sometimes,Small,,,,,night,,Yes,NA,50,50,100,225,long,night,Myers & Myers 1979; Munro 1957; Gerasimov & Gerasimov 2000; Paulson 1995
Tyrannus,forficatus,Tyrannidae,Scissor-tailed Flycatcher,4430,Concurrent,180,250,Complete,No,,,Common,Small,,,,,night,,No,NA,250,20,10000,38,long,day,FitzPatrick 1980; Morton 1980; Murphy 1996; Gauthreaux 1972; Williams 1945; Andrle 1966; Forcey 2002; Anderson et al. 2004
Icterus ,parisorum,Icteridae,Scott's Oriole,5040,,NA,NA,Partial,Yes,,Concurrent,Common,Small,,,,,,,,NA,50,50,NA,28.3,short,,Martin & Parrish 2000
Ammospiza,maritima,Passerellidae,Seaside Sparrow,5500,,NA,NA,Partial,Yes,,,,,,,,,night,Yes,Yes,NA,25,3,NA,7.4,long,night,Ewert & Askins 1991; Moldenhaeur & Regelski 1996; Eaton 1953; Post 1978; Stacier 1992; Stewart 1983; Hamel & Kirkconnell 2005
Cistothorus,stellaris,Troglodytidae,Sedge Wren,7240,Concurrent,250,320,Complete,No,,,Common,,,,,Mixed species flocks,night,,No,NA,2,2,NA,8.25,short,night,Herkert et al. 2001; Taylor et al. 1983
Charadrius,semipalmatus,Charadriidae,Semipalmated Plover,2740,Adults first,200,300,Complete,No,,Adults first,Common,,,,,,night,Yes,,NA,NA,1,NA,58.8,long,night,Hughes 1999
Calidris,pusilla,Scolopacidae,Semipalmated Sandpiper,2460,Adults first,180,300,Complete,No,,Adults first,Common,,,,,,night,,,NA,40,40,15,86.4,long,night,Miller 1947; Myers & Myers 1979; Tibbits & Moskoff 1999; Hayes & Fox 1991; Holland & Williams 1975; Brady 1990
Accipiter,striatus,Accipitridae,Sharp-shinned Hawk,3320,Juveniles first,230,320,Partial,Yes,Year-round in S. America.,Juveniles first,Uncommon,Small,,,,,day,No,,NA,1,1,3,103,short,day,Bildstein & Meyer 2000; Mueller et al. 2000; Cooper et al. 1991; Kerlinger & Gauthreaux 1985b; Kerlinger 1989
Limnodromus,griseus,Scolopacidae,Short-billed Dowitcher,2310,Adults first,200,320,Complete,No,,Adults first,Common,Medium,,,,Flocks may be small or large,night,,,NA,17,17,NA,68.5,long,night,Lanctot & Laredo 1994; Myers & Myers 1979; Myers 1980; Lanctot et al. 2002; Hayes & Fox 1991; Isaach & Martinez 2003; McCarty et al. 2009
Larus ,brachyrhynchus,Laridae,Short-billed Gull,,,NA,NA,Complete,No,Limited residency reported. Mew gull in banding,,,,,,,,,,,NA,70,70,320,21.3,long,day,"Robertson et al. 1992; McCarthy 1997; Baird & Nisbet 1959, 1960"
Asio,flammeus,Strigidae,Short-eared Owl,3670,,NA,NA,Partial,Yes,,,No,,,,,Irruptive,,,No,NA,12971,503,NA,2932,short,,Mowbray 2002; Camphuysen & Webb 1999
Calcarius ,pictus,Calcariidae,Smith's Longspur,5370,,NA,NA,Complete,No,,,Common,Medium,,,,Flocks can be small,night,,No,NA,100,100,NA,49.9,short,day,Latta & Baltz 1997; Land 1962
Plectrophenax ,nivalis,Calcariidae,Snow Bunting,5340,Juveniles first,230,320,Complete,No,Limited residency reported,,Common,Small,Loose,,,,night,,Yes,NA,NA,3,NA,15.4,long,night,Greene et al. 1996; Forcey 2009
Anser,caerulescens,Anatidae,Snow Goose,1690,,NA,NA,Complete,Yes,lesser/greater seperated in banding,Concurrent,Common,Large,Tight,Yes,,,night,Yes,,NA,2500,2500,35,1246,short,night,Palmer 1976; Drilling et al. 2002; Jorde et al. 1983; Kear 2005; Breault & Butler 1992; Cooper et al. 1991
Egretta,thula,Ardeidae,Snowy Egret,1970,,NA,NA,Partial,Yes,,,,,,,,,night,,,NA,955,398,NA,369,short,night,Parsons & Master 2000; Brady 1990; Erwin 1983; Master 1992; Smith 1995
Bubo,scandiacus,Strigidae,Snowy Owl,3760,,NA,NA,Partial,Yes,,,No,,,,,Irruptive,night,,No,NA,26,2,NA,30.3,long,night,Powell 1979; Hutto 1994; Rappole & Warner 1980; Morton 1980; Robinson 1996; Leck 1975; Thomas 1993; Gauthreaux 1972; Moore et al. 1990; Bakermans 2008
Charadrius,nivosus,Charadriidae,Snowy Plover,2780,,NA,NA,Partial,Yes,,,,,,,,,,,,NA,1000,1000,2000,538,short,day,Madge & Burn 94; Ward & Low 1997; Verbeek & Caffrey 2002; Knopf & Knopf 1983; Stouffer & Caccamise 1991
Tringa,solitaria,Scolopacidae,Solitary Sandpiper,2560,,NA,NA,Complete,No,,,Sometimes,Small,,,,,night,Yes,,NA,1,1,1,261,short,night,Konig et al. 1999; Marks et al. 1994
Melospiza ,melodia,Passerellidae,Song Sparrow,5810,Concurrent,220,330,Partial,Yes,,,,,,,,,night,,Yes,NA,5,1,NA,10.3,long,night,Rappole & Warner 1980; Ogden & Stutchbury 1994; Moore et al. 1990; Stewart 1983; Hamel & Kirkconnell 2005; Kirkconnell et al. 1996
Porzana,carolina,Rallidae,Sora,2140,,NA,NA,Partial,Yes,,,Common,Small,,,,Flocks may be medium,night,,,NA,150,150,25,56.5,long,night,Klima & Jehl 1998; De Leon & Smith 1999; Myers & Myers 1979; Hayes & Fox 1991
Somateria,fischeri,Anatidae,Spectacled Eider,,,NA,NA,Complete,No,,,Common,Small,Tight,,,,day,,,NA,1500,1500,30,887,short,,Kear 2005; Fredrickson 2001; Larned 2006; Alerstam & Gudmundsson 1999; Larned & Zwiefelhofer 2001; Systad & Bustnes 2001
Actitis,macularius,Scolopacidae,Spotted Sandpiper,2630,Adults first,180,300,Complete,No,,Adults first,Sometimes,Small,,,,,night,,,NA,125,125,1100,117,long,night,Jehl et al. 2001; Ashmole 1970; Holland & Williams 1975
Pipilo,maculatus,Passerellidae,Spotted Towhee,5880,,NA,NA,Partial,Yes,,,,,,,,,night,,No,NA,500,83,NA,1750,short,,Sealy 1973; Hoffman et al. 1981; Chilton  & Sealy 1987; Hobson 1997; Clowater 1998
Anthus,spragueii,Motacillidae,Sprague's Pipit,7000,,NA,NA,Complete,No,,,No,,,,,,day,,No,NA,15700,15700,NA,657,long,,Winkler 1996; Chilton & Sealy 1987; Porter & Sealy 1981; Vermeer et al. 1989
Polysticta,stelleri,Anatidae,Steller's Eider,,,NA,NA,Complete,No,,Concurrent,Common,Small,Tight,,,,,Yes,,NA,36,36,15,1082,short,night,Titman 1999; Kear 2005; Bellrose 1976; Clowater 1998
Calidris,himantopus,Scolopacidae,Stilt Sandpiper,2330,,NA,NA,Complete,No,,Adults first,Common,Small,,,,,night,Yes,,NA,6,6,31,497.4,long,night,Marks et al. 2002
Myiodynastes,luteiventris,Tyrannidae,Sulphur-bellied Flycatcher,4510,,NA,NA,Complete,No,,,,,,,,,,,,NA,NA,5,NA,46.7,short,,Lowther & Stotz 1999; Leck 1969
Piranga,rubra,Cardinalidae,Summer Tanager,6100,Adults first,250,330,Complete,No,,,,,,,,,night,,,NA,50,50,NA,145,long,night,Johnson & Connors 2010; Johnson et al. 2004; Johnston & McFarlane 1967; Gerasimov & Gerasimov 2000; Stinson et al. 1997; Myers & Myers 1979; Hayes & Fox 1991
Melanitta,perspicillata,Anatidae,Surf Scoter,1660,,NA,NA,Complete,No,,Adults first,Common,,,,,,night,,,NA,10,10,NA,554,short,night,Dugger et al. 2009; Dunning 2008; Barbour & DeGrange 1982; Kear 2005
Calidris,virgata,Scolopacidae,Surfbird,2820,,NA,NA,Complete,No,,Adults first,Common,Medium,,,,,,,,NA,7,7,700,164,long,night,Brady 1990; Elphick & Tibbits 1998; Hayes & Fox 1991
Buteo,swainsoni,Accipitridae,Swainson's Hawk,3420,,NA,NA,Complete,No,,Concurrent,Common,Large,,,,,day,No,,NA,12000,12000,10000,808,long,day,Bechard et al. 2010; Smith 1980; Kerlinger & Gauthreaux 1985b
Catharus,ustulatus,Turdidae,Swainson's Thrush,7580,Adults first,220,330,Complete,No,,,,,,,,,night,Yes,Yes,NA,1,1,NA,27.5,long,night,Rimmer et al. 2001; Evans 1994
Limnothlypis,swainsonii,Parulidae,Swainson's Warbler,6380,Concurrent,150,320,Complete,No,,,Sometimes,Small,,,,,night,,Yes,NA,50,2,NA,9.8,short,,Martin & Barber 1995; Hutto 1987; King & Rappole 2000; Vidal et al. 1994
Melospiza ,georgiana,Passerellidae,Swamp Sparrow,5840,Adults first,250,350,Complete,No,,,Common,,,,,,night,,Yes,NA,NA,NA,NA,NA,short,night,Hamel 1995; Curson et al. 1994
Leiothlypis,peregrina,Parulidae,Tennessee Warbler,6470,Adults first,180,330,Complete,No,,,Common,,,,,Mixed Species flocks,night,,Yes,NA,50,50,100,21.6,long,day,Verbeek & Hendricks 1994; Aldrich 1935; Forcey 2002
Rhynchophanes,mccownii,Calcariidae,Thick-billed Longspur,5390,,NA,NA,Complete,No,McGown's Longspur in banding,,Common,Medium,,,,,,,,NA,11,NA,NA,29.3,long,,Ingold 1993; Latta & Wunderle 1996; Gauthreaux 1972; Moore et al. 1990; Williams 1945
Uria ,lomvia,Alcidae,Thick-billed Murre,310,,NA,NA,Partial,Yes,,Concurrent,Sometimes,Small,Tight,Yes,,Offspring pair with parent at first,,No,,NA,15,15,30,952,short,,Gaston & Jones 1998; Gaston & Hipfner 2000; Merkel et al. 2002; McLaren 1982
Myadestes,townsendi,Turdidae,Townsend's Solitaire,7540,,NA,NA,Partial,Yes,,Adults first,No,,,,Some,,,,,NA,1,1,NA,32.4,short,,Bowen 1997
Setophaga,townsendi,Parulidae,Townsend's Warbler,6680,Concurrent,210,310,Complete,No,Very limited residency reported,,Common,Small,,,,Mixed Species flocks. Medium flocks possible,,,,NA,21,1,NA,14.39,long,night,Powell 1979; Rappole & Warner 1980; Morton 1980; McDonald 1998; Curson et al. 1996; Mabey & Morton 1992; Kirkconnell et al. 1996
Tachycineta ,bicolor,Hirundidae,Tree Swallow,6140,Concurrent,190,310,Complete,No,Very limited residency reported,,Common,,Loose,,,,day,,Yes,NA,1,1,1,612,long,day,White et al. 2002; Mueller et al. 2000; Kerlinger & Gauthreaux 1985b; Kerlinger 1989
Egretta,tricolor,Ardeidae,Tricolored Heron,1990,,NA,NA,Partial,Yes,,,,,,,,,,,,NA,1,1,NA,78.2,short,,Poole et al. 2009
Cygnus ,buccinator,Anatidae,Trumpeter Swan,1810,,NA,NA,Partial,Yes,,Concurrent,Common,Small,Tight,Yes,,,night,Yes,,NA,50000,50000,1000,2224,long,night,Mowbray et al. 2000; Gauthier et al. 1988; Jonsson & Afton 2008; pers. com; Prevett & MacInnes 1980; Kear 2005; Cooper et al. 1991
Cygnus ,columbianus,Anatidae,Tundra Swan,1800,,NA,NA,Complete,No,Whistling swan in banding,Concurrent,Common,Medium,Tight,Yes,,,night,Yes,,NA,1000,1000,NA,2370,short,,Petersen et al. 1994; Schmutz 1994; Kear 2005
Cathartes,aura,Accipitridae,Turkey Vulture,3250,,NA,NA,Partial,Yes,,,Sometimes,Medium,Loose,,,,day,No,,NA,20,20,200,1430,short,day,Kirk & Mossman 1998; Buckley 1996; Kerlinger & Gauthreaux 1985b; Kerlinger 1989; van Tyne 1945
Bartramia,longicauda,Scolopacidae,Upland Sandpiper,2610,,NA,NA,Complete,No,,,Common,Small,,,,,night,Yes,,NA,30,30,1000,220,long,night,Hope & Shortt 1944; Elphick & Klima 2002; Myers & Myers 1979
Passerina ,versicolor,Cardinalidae,Varied Bunting,6000,,NA,NA,Partial,Yes,,,Common,Medium,,,,,,,,NA,15,15,NA,53,long,,Elliott-Smith & Haig 2006; Nicholls & Baldassarre 1990
Ixoreus ,naevius,Turdidae,Varied Thrush,7630,Concurrent,250,300,Partial,Yes,,,,,,,,,,,,NA,20,20,NA,78.4,short,,George 2000; Martin 1970;
Chaetura,vauxi,Apodidae,Vaux's Swift,4240,,NA,NA,Partial,Yes,,,Common,Large,Tight,,,,day,,,NA,165,100,1000,35.4,long,day,Lowther & Collins 2002; Forcey 2002; Stiles & Negret 1994
Catharus,fuscescens,Turdidae,Veery,7560,Adults first,220,300,Complete,No,,Concurrent,Common,,,,,,night,Yes,Yes,NA,26,2,NA,28.3,long,night,Jones & Donovan 1996; Gram 1998; Brown et al. 2000; Farley et al. 2008
Pooecetes,gramineus,Passerellidae,Vesper Sparrow,5400,Concurrent,150,340,Partial,Yes,,,Common,Small,,,,,night,,Yes,NA,77,20,100,161.1,short,night,Wiebe & Moore 2008; Short 1961; Jones & Bock 2003
Tachycineta ,thalassina,Hirundidae,Violet-green Swallow,6150,,NA,NA,Partial,Yes,,,Common,Medium,,,Some,,day,Yes,,NA,1,1,7,111,short,day,Smallwood & Bird 2002; Mueller et al. 2000; Kerlinger & Gauthreaux 1985b; Kerlinger 1989
Rallus,limicola,Rallidae,Virginia Rail,2120,Concurrent,230,320,Partial,Yes,,,No,,,,,,night,No,,NA,200,20,NA,23.2,long,night,De Leon & Smith 1999; Nebel & Cooper 2008; Tripp & Collazo 1997; Munro 1957; van Tyne 1945
Leiothlypis,virginiae,Parulidae,Virginia's Warbler,6440,Concurrent,200,280,Complete,No,,,,,,,,,night,,,NA,25,25,12,1485.5,long,day,Fleming et al. 92; Greene 87; Poole et al. 2002; Kerlinger & Gauthreaux 1985b; Kerlinger 1989
Tringa,incana,Scolopacidae,Wandering Tattler,2590,,NA,NA,Complete,No,,Adults first,Common,,,,,,,,,NA,20,20,NA,46.9,long,,Thompson et al. 1997
Vireo,gilvus,Vireonidae,Warbling Vireo,6270,,NA,NA,Partial,Yes,,,Common,,,,Some,Mixed species flocks,night,,No,NA,50,NA,NA,15.3,long,night,Farley et al. 2008; James 1998; Johnson et al. 1988; Rodewald & Brittingham 2002; Rappole et al. 1999; Vidal et al. 1994
Sialia ,mexicana,Turdidae,Western Bluebird,7670,,NA,NA,Partial,Yes,,,Common,Small,Loose,Common,Common,,day,,,NA,13,13,20,25.8,short,day,Davis 1957; Guinan et al. 2008; Keyser et al. 2004
Aechmophorus,occidentalis,Podicipedidae,Western Grebe,10,,NA,NA,Partial,Yes,,,Common,,,,,,night,,,NA,45,35,NA,6.3,short,night,Morse 1970; Lagory et al. 1984; Ingold & Galati 1997; Rodewald & Brittingham 2002
Tyrannus,verticalis,Tyrannidae,Western Kingbird,4470,,NA,NA,Complete,No,,Adults first,Sometimes,Small,Loose,,,Flocks may be medium,day,,No,NA,NA,1,NA,45,short,,Tweit & Tweit 2000
Sturnella,neglecta,Icteridae,Western Meadowlark,5011,,NA,NA,Partial,Yes,,,Common,Small,Loose,,,Flocks may medium,night,,No,NA,590,130,12,2349,long,day,Russell 2002; Clowater 1998
Calidris,mauri,Scolopacidae,Western Sandpiper,2470,Adults first,180,300,Complete,No,,Adults first,Common,,,,,,night,,,NA,100,100,300,49.7,long,night,Alerstam & Gudmundsson 1999; Tracy et al. 2002; Obst & Hunt 1990; Gudmundsson et al . 2002; Byrd et al. 1974
Piranga,ludoviciana,Cardinalidae,Western Tanager,6070,Adults first,200,340,Complete,No,,Adults first,Sometimes,Small,,,,,night,,,NA,NA,596,30,100.7,short,night,Knopf & Rupert 1999; Knopf & Wunder 2006; Wunder & Knopf 2003;
Contopus,sordidulus,Tyrannidae,Western Wood-Pewee,4620,Adults first,220,300,Complete,No,,,No,,,,,,,,,NA,NA,1,NA,12.8,long,,Bemis & Rising 1999; Austin & Smith 1972
Numenius,phaeopus,Scolopacidae,Whimbrel,2650,,NA,NA,Complete,No,,Adults first,Common,Small,,,,,night,Yes,,NA,530,530,NA,158,short,,McNicholl et al. 2001; Master 1992; Schreffler et al. 2010
Eudocimus,albus,Threskiornithidae,White Ibis,1840,,NA,NA,Partial,Yes,,,Common,,,,,,,,,NA,5000,5000,NA,1036,short,,Kushlan 1979; Frederick et al. 2009; Smith 1995; Petit & Bildstein 1987; Bennetts & Dreitz 1997
Zonotrichia,leucophrys,Passerellidae,White-crowned Sparrow,5540,Concurrent,250,320,Partial,Yes,,Juveniles first,No,,,,,,night,,Yes,NA,1000,1000,40,421.6,short,night,Briggs et al. 1987; Cullen et al. 1999; Mahoney & Jehl 1985
Vireo,griseus,Vireonidae,White-eyed Vireo,6310,Adults first,250,340,Partial,Yes,,Concurrent,,,,,,,night,No,No,NA,NA,2,NA,18,long,night,Hamel & Kirkconnell 2005; Rodewald & James 1996; Tramer & Kemp 1982
Plegadis,chihi,Threskiornithidae,White-faced Ibis,1870,,NA,NA,Partial,Yes,,,Common,,,,,,,,,NA,1000,1000,NA,679,short,,Ryder & Manry 1994; Amat & Rilla 1994; Bray & Klebenow 1988
Calidris,fuscicollis,Scolopacidae,White-rumped Sandpiper,2400,,NA,NA,Complete,No,,,,,,,,,night,,,NA,1,1,50,354.8,long,,Skeel & Mallory 1996; Hope & Shortt 1944; Gerasimov & Gerasimov 2000; Stinson et al. 1997
Zonotrichia,albicollis,Passerellidae,White-throated Sparrow,5580,Concurrent,230,340,Complete,No,,,Common,,Loose,,,,night,Yes,Yes,NA,1,1,NA,1429,short,night,Storer & Nuechterlein 1992; Clowater 1998
Aeronautes,saxatalis,Apodidae,White-throated Swift,4250,,NA,NA,Partial,Yes,,,,,,,,,day,,,NA,12,12,300,23.6,long,day,Cink & Collins 2002; Spendelow 1985
Zenaida,asiatica,Columbidae,White-winged Dove,3190,,NA,NA,Partial,Yes,,Adults first,Common,Small,,,,,day,No,No,NA,NA,NA,NA,15.3,short,night,Greenlaw & Rising 1994; Byers et al. 1995
Melanitta,deglandi,Anatidae,White-winged Scoter,1650,,NA,NA,Complete,No,,,Common,Medium,Tight,,,,night,,,NA,5000,5000,NA,672,short,,Robertson & Goudie 1999; Taber 1946; Kear 2005
Grus,americana,Gruidae,Whooping Crane,2040,,NA,NA,Partial,Yes,,Concurrent,Sometimes,Small,Tight,Yes,,,day,Yes,,NA,NA,10,NA,11.2,short,,Tenney 1997; Byers et al. 1995
Tringa,semipalmata,Scolopacidae,Willet,2580,Adults first,180,350,Complete,No,,Adults first,Common,Small,,,,,night,Yes,,NA,1,1,NA,315,short,,Wiggins et al. 2006
Sphyrapicus ,thyroideus,Picidae,Williamson's Sapsucker,4040,,NA,NA,Partial,Yes,,,Common,Small,,,Yes,,,,,NA,360,360,NA,306.6,short,night,De Leon & Smith 1999; Davis & Smith 1998; Robinson et al. 1997; Evans & Harris 1994; Mahoney & Jehl 1985
Empidonax ,traillii,Tyrannidae,Willow Flycatcher,4660,Adults first,220,290,Complete,No,,Adults first,,,,,,,night,,No,NA,50,1,NA,10.59,long,night,Sedgwick 1994; Vidal et al. 1994; Rappole et al. 1999; King & Rappole 2000
Phalaropus,tricolor,Scolopacidae,Wilson's Phalarope,2240,Adults first,180,250,Complete,No,,Adults first,Common,,,,,,night,,,NA,155,100,NA,475,short,,Stiles & Smith 1977; Buckley & Buckley 2002
Gallinago,delicata,Scolopacidae,Wilson's Snipe,2300,Concurrent,270,350,Partial,Yes,,,Common,,,,,,night,Yes,,NA,250,250,NA,99.4,long,,Gill et al. 2002;
Cardellina,pusilla,Parulidae,Wilson's Warbler,6850,Concurrent,220,330,Complete,No,,Concurrent,Sometimes,Small,,,,Mixed Species flocks,night,,Yes,NA,50000,161,NA,1224,short,night,Maniscalco et al. 2001; Sealy 1973; Hoffman et al. 1981; Chilton & Sealy 1987; Hayward & Verbeek 2008; Woodby & Divoky 1982
Troglodytes ,hiemalis,Troglodytidae,Winter Wren,7222,,NA,NA,Partial,Yes,,,,,,,,,night,,No,NA,13,2,NA,9.4,short,night,Morse 1970; Hejl et al. 2002; Taylor et al. 1983
Aix,sponsa,Anatidae,Wood Duck,1440,Concurrent,270,330,Partial,Yes,,,Common,Small,Tight,,,,night,,,NA,50,50,12,694,short,night,Hepp and Bellrose 1995; Kear 2005
Hylocichla,mustelina,Turdidae,Wood Thrush,7550,Concurrent,260,320,Complete,No,,,,,,,,,night,,Yes,NA,6,6,1,47.8,long,night,Roth et al. 1996; Rappole et al. 1989; Rappole & Warner 1980; Morton 1980; Gauthreaux 1972
Helmitheros,vermivorum,Parulidae,Worm-eating Warbler,6390,Adults first,220,300,Complete,No,,,,,,,,,night,,Yes,NA,2000,2000,100,196,long,night,Day et al. 2001; Loftin 1991; Duffy 1989
Coturnicops,noveboracensis,Rallidae,Yellow Rail,2150,,NA,NA,Complete,No,,Adults first,Common,,,,,,night,,,NA,150,150,100,61,long,night,MacWhirter et al. 2002; Burger & Gochfeld 1991; Silliman et al. 1977; Myers & Myers 1979; Gudmundsson & Lindstrom 1992; Hope & Shortt 1944; Byrd et al. 1974
Setophaga,petechia,Parulidae,Yellow Warbler,6520,Concurrent,240,320,Complete,No,,,Common,,,,,,night,Yes,Yes,NA,1,1,NA,25.6,short,night,Eckerle & Thompson 2001; Curson et al. 1996; Stewart 1983
Empidonax ,flaviventris,Tyrannidae,Yellow-bellied Flycatcher,4630,,NA,NA,Complete,No,,Adults first,Common,,,,,,night,No,No,NA,1,1,1,10.4,long,,Tarof & Briskie 2008; Rappole & Warner 1980;
Sphyrapicus ,varius,Picidae,Yellow-bellied Sapsucker,4020,Concurrent,200,350,Complete,No,,,Sometimes,Small,Loose,,,,night,No,No,NA,60,9,NA,6.9,long,night,Gram 1998; Morse 1970; Swanson et al. 2008; Lagory et al. 1984; Farley et al. 2008; Rodewald & Brittingham 2002
Coccyzus,americanus,Cuculidae,Yellow-billed Cuckoo,3870,Adults first,250,330,Complete,No,,,Sometimes,Small,,,,,night,No,Yes,NA,1000,400,70,37.6,short,day,Shane 2000; Thompson et al. 1991; Shane & Seltman 1995
Gavia ,adamsii,Gaviidae,Yellow-billed Loon,80,,NA,NA,Complete,No,,,Sometimes,Small,Loose,,,,day,Yes,,NA,200,200,1000,12.1,short,night,Howell 1972; Cody 1972; Byers et al. 1995; Middleton 1998; Allaire & Fisher 1975; Forcey 2002
Icteria,virens,Parulidae,Yellow-breasted Chat,6830,Adults first,190,340,Complete,No,Very limited residency reported,,Sometimes,Small,,,,,night,,No,NA,26,2,1,32.3,short,night,Cimprich & Moore 1995; Rappole & Warner 1980; Farley et al. 2008; Gauthreaux 1972; Hamel & Kirkconnell 2005
Nyctanassa,violacea,Ardeidae,Yellow-crowned Night-Heron,2030,,NA,NA,Partial,Yes,,,,,,,,,,,,NA,1,1,NA,913,short,,Hothem et al. 2010
Xanthocephalus ,xanthocephalus,Icteridae,Yellow-headed Blackbird,4970,,NA,NA,Complete,No,Very limited residency reported,,Common,Small,Loose,,,,day,,Yes,NA,8,8,15,1896,long,,Barr et al. 2000
Setophaga,coronata,Parulidae,Yellow-rumped Warbler,,,NA,NA,Partial,Yes,Audubon and Myrtle in banding,,,,,,Some,,night,,Yes,NA,50,4,NA,8.9,long,night,Gramm 1998; Powell 1979; Buskirk et al. 1972; Morse & Poole 2005; Dunning 2008; King & Rappole 2000; Latta & Wunderle 1996; Johnson et al. 1988; Hall 1981; Stewart 1983; Hamel & Kirkconnell 2005; Rodewald & Brittingham 2002; Bakermans 2008
Vireo,flavifrons,Vireonidae,Yellow-throated Vireo,6280,,NA,NA,Complete,No,,,No,,,,,,night,,No,NA,30,1,NA,20.7,long,night,Cimprich et al. 2000; Thiollay & Julien 1998; Gauthreaux 1972; Moore et al. 1990; Murray 1966; Rodewald & Brittingham 2002; Bakermans 2008
Setophaga,dominica,Parulidae,Yellow-throated Warbler,6630,,NA,NA,Partial,Yes,,,No,,,,,,night,,Yes,NA,25,2,8,7.5,short,night,Eaton 1953; Latta & Wunderle 1996; Nolan et al. 1999; Post 1978; Curson et al. 1994; Stewart 1983; Hamel & Kirkconnell 2005
Buteo ,albontatus,Accipitridae,Zone-tailed Hawk,3400,,NA,NA,Complete,No,Year-round in S. America.,,Uncommon,Small,,,,,,No,,NA,NA,1,3,628,short,,Johnson et al. 2000; Willis 1963