Genus,Species,Family,Common_name,AOU,Banding_cohort_timing,BOTW_cohort_timing,Combined_Cohort_Timing,Start,End,Migration,Note,Flocking,Max_flock_size_travelling,Flock_size,Combined_Flock_Size,Flock_structure,Family_grouping,Altitudinal,Comments,BOTW_migration_timing,Beauchamp_migration_timing,Combined_Migration_Timing,BOTW_MFC,Evans_MFC,Combined_MFC,Max_flock_size,Max_flock_size_conspecifics,Male_mass_g,Mig_distance,CBC_Lon_slope,CBC_Lat_slope,BBS_Lon_slope,BBS_Lat_slope,CBC_Lon_slope_Error,CBC_Lat_slope_Error,BBS_Lon_slope_Error,BBS_Lat_slope_Error
Empidonax,virescens,Tyrannidae,Acadian Flycatcher,4650,Adults first,Adults first,Adults first,230,320,Complete,,,,,,,,,,night,night,night,,No,No,1,1,12.5,short,,,168.3342705,300.7046987,,,655.8684351,180.4983821
Empidonax,alnorum,Tyrannidae,Alder Flycatcher,4661,Adults first,Adults first,Adults first,230,270,Complete,,,1,,Solo,,,,,night,,night,,No,No,30,1,10.7,short,,,-2020.035804,-727.2295644,,,1134.646673,994.9326381
Selasphorus,sasin,Trochilidae,Allen's Hummingbird,4340,Adults first,Adults first,Adults first,160,260,Partial,,No,1,,Solo,,,,,day,,day,,,,1,1,2.85,short,-14847.5248,5532.453185,-131.262921,585.1077249,31258.07605,19648.61047,11110.66439,1596.437613
Recurvirostra,americana,Recurvirostridae,American Avocet,2250,,,,,,Partial,,Sometimes,400,Small,Small,,,,Flocks may be medium,night,day,night,,,,100,100,101.6,short,-17844.17483,2157.286594,1027.960349,130.8618517,172898.6131,199539.364,6557.46149,1570.128841
Botaurus,lentiginosus,Ardeidae,American Bittern,1900,,,,,,Partial,"Some residency, but only assumed",,75,,Small,,,,,day,day,day,,,,1600,66,371.8,short,17181.5687,-2679.858419,1479.458951,559.4783748,18576.51888,4571.446992,777.0433784,1525.274989
Anas,rubripes,Anatidae,American Black Duck,1330,Concurrent,Concurrent,Concurrent,230,360,Partial,,Yes,25,Small,Small,Tight,,,,night,night,night,,,,30,30,335,short,,,957.4919988,4257.388518,,,7202.4413,2736.535822
Fulica,americana,Rallidae,American Coot,2210,,Concurrent,Concurrent,,,Partial,,Sometimes,1000,Small,Small,Loose,,,,night,night,night,,,,3000,3000,49.5,long,-8931.730853,4239.348763,2636.07092,3873.285515,5007122.144,3941901.74,3163.704996,2522.296414
Corvus,brachyrhynchos,Corvidae,American Crow,4880,,,,,,Partial,,,,,,,,,,day,,day,,No,No,,,18.5,short,741.2855559,4054.846514,1909.733046,-1215.10869,1111.44206,430.4372448,198.0911049,94.38894517
Pluvialis,dominica,Charadriidae,American Golden-Plover,2720,,Adults first,Adults first,,,Complete,,Yes,,,,,,,,night,night,night,Yes,,Yes,1,1,17,short,,,,,,,,
Spinus,tristis,Fringillidae,American Goldfinch,5290,Concurrent,,Concurrent,220,350,Partial,,Yes,,,,,,,,day,night,day,,Yes,Yes,350,80,24.02,short,1120.947947,10145.98844,4024.31695,-1685.785934,639.1198311,671.6151717,392.6525147,166.9040842
Falco,sparverius,Falconidae,American Kestrel,3600,Concurrent,Concurrent,Concurrent,240,310,Partial,,Sometimes,,Small,Small,Loose,,,Adult males migrate after adult females and young,day,night,day,,,,6,6,18.6,short,-6742.772896,2420.354177,-2759.925899,-2331.538857,482.141408,333.3899025,389.3347958,218.5397159
Haematopus,palliatus,Haematopodidae,American Oystercatcher,2860,,,,,,Partial,,,,,,,No,,,,night,night,,,,27,15,31.4,short,-1098.868322,-555.8433634,-81.34199983,-106.0771165,14199.72837,8207.865804,18467.3871,8379.637804
Anthus,rubescens,Motacillidae,American Pipit,6970,Concurrent,Concurrent,Concurrent,240,320,Complete,,Yes,100,Medium,Medium,Loose,,,Flocks may be small,day,,day,,No,No,50000,19500,327,long,17096.23578,-4095.24848,-26.18217535,27.11923203,4442.715308,3294.280103,18890.04748,1445.506637
Setophaga,ruticilla,Parulidae,American Redstart,6870,Adults first,Juveniles first,Juveniles first,220,320,Complete,,,,,,,,,,night,,night,Yes,Yes,Yes,1,1,10.4,long,,,-3727.101343,-235.7723265,,,763.627179,359.1801741
Turdus,migratorius,Turdidae,American Robin,7610,Concurrent,,Concurrent,210,350,Partial,,Yes,25000,,Large,,,,,night,night,night,,Yes,Yes,350,350,77.3,short,-2619.200661,10923.03408,-80.97408233,-772.8094201,1450.795993,3083.787182,178.9791092,90.70858867
Spizelloides,arborea,Passerellidae,American Tree Sparrow,5590,Concurrent,,Concurrent,250,320,Complete,,Yes,,,,,,,,night,,night,Yes,Yes,Yes,1,1,50.5,short,,,,,,,,
Pelecanus,erythrorhynchos,Pelecanidae,American White Pelican,1250,,,,,,Partial,,Yes,,Medium,Medium,,,,,day,night,day,No,,No,200,200,474,long,-400.6683048,7144.727911,17551.2189,-413.8523207,2309.983176,10012.65645,13546.48746,5316.754955
Mareca,americana,Anatidae,American Wigeon,1370,Concurrent,Concurrent,Concurrent,230,300,Complete,Year-round range seasonal populations differ,Yes,,Large,Large,Tight,,,Adult males migrate before adult females and young.,day,night,day,Yes,,Yes,1000,1000,796.1,short,-12472.85022,6811.159501,316.0958083,-2278.74594,5014.586079,2364.428381,2157.610808,2737.558478
Scolopax,minor,Scolopacidae,American Woodcock,2280,Concurrent,,Concurrent,270,360,Partial,,Sometimes,150,Small,Small,Loose,,,,night,night,night,,,,96,52,111,long,4109.195415,4437.32984,-146.7062354,486.1979173,1882.630302,1743.619716,2584.819529,1162.748552
Sterna,paradisaea,Laridae,Arctic Tern,710,,,,,,Complete,,Yes,1000,Small,Small,,,,,night,day,night,,,,70000,7000,119.6,short,,,,,,,,
Myiarchus,cinerascens,Tyrannidae,Ash-throated Flycatcher,4540,,,,,,Partial,,,1,,Solo,,,,,night,night,night,,No,No,1,1,33.5,long,2510.280241,-1531.561917,2714.465925,-944.088856,7608.397484,4238.975553,1399.056983,664.9724398
Vermivora,bachmanii,Parulidae,Bachman's Warbler,,,,,,,Complete,Declared extinct by some,,,,,,,,,night,,night,,,,,,10,short,,,,,,,,
Calidris,bairdii,Scolopacidae,Baird's Sandpiper,2410,Adults first,Adults first,Adults first,190,260,Complete,,Yes,,Small,Small,,,,,,night,night,Yes,,Yes,3,3,48.4,long,,,,,,,,
Centronyx,bairdii,Passerellidae,Baird's Sparrow,5450,,,,,,Complete,,Sometimes,2,Small,Small,,,,,night,night,night,Yes,Yes,Yes,2,2,20.4,short,-8997.385438,5792.061383,-4235.973037,491.1858661,19126.80726,17134.32041,2357.174653,3567.818785
Haliaeetus,leucocephalus,Accipitridae,Bald Eagle,3520,,Concurrent,Concurrent,,,Partial,,Sometimes,2,Small,Small,,,,,day,day,day,No,,No,300,300,4230,short,5712.659571,4788.490473,2330.522247,1101.025206,1025.421696,663.8889947,1853.952534,1198.019602
Icterus,galbula,Icteridae,Baltimore Oriole,5070,Adults first,Concurrent,Concurrent,220,320,Complete,,Yes,,Small,Small,,,,,night,,night,,No,No,200,200,26.01,short,,,-4215.233461,-1014.83761,,,508.7728384,167.9243143
Patagioenas,fasciata,Columbidae,Band-tailed Pigeon,3120,,,,,,Partial,,Yes,,Small,Small,,,,,day,night,day,,,,1,1,13.4,short,10.6389907,-1881.697442,-1742.705311,673.811399,19876.39951,1524.700281,4359.555707,1537.711038
Riparia,riparia,Hirundidae,Bank Swallow,6160,,,,,,Complete,,Yes,5,Medium,Medium,,,,Flocks can be large,day,day,day,,Yes,Yes,1,1,185.3,long,,,-37613.59055,-2970.928264,,,4824.295649,3434.431311
Limosa,lapponica,Scolopacidae,Bar-tailed Godwit,2500,,Adults first,Adults first,,,Complete,,Yes,100,Small,Small,,,,Flocks may be medium,night,night,night,Yes,,Yes,3000,3000,48,long,,,,,,,,
Hirundo,rustica,Hirundidae,Barn Swallow,6130,,,,,,Complete,,Yes,,Medium,Medium,,,,Flocks can be large,day,night,day,,Yes,Yes,75,75,33.2,long,,,-1569.575683,-6129.919143,,,220.2518032,317.6363283
Bucephala,islandica,Anatidae,Barrow's Goldeneye,1520,,,,,,Complete,Pottentially limited residency,,,,,,,,,night,,night,,,,40,40,1143,short,5291.608097,-3158.140874,-242.5193845,-519.4486967,11802.45949,8280.194257,8733.870442,8230.726865
Setophaga,castanea,Parulidae,Bay-breasted Warbler,6600,Adults first,,Adults first,220,320,Complete,,Yes,,,,,,,Mixed Species flocks,night,night,night,,Yes,Yes,7,7,10,long,,,3241.21515,1417.287944,,,6029.970603,3758.909862
Artemisiospiza,belli,Passerellidae,Bell's Sparrow,5739,,Concurrent,Concurrent,,,Partial,,Yes,,Small,Small,,,Sometimes,,,,,,,,11,2,22.5,long,,,345.0988377,-336.0505044,,,11706.63901,2151.730425
Vireo,bellii,Vireonidae,Bell's Vireo,6330,Concurrent,,Concurrent,240,350,Partial,,,,,,,,,,night,night,night,,No,No,30,2,11.25,long,8428.820163,2737.089523,608.9779266,1095.193276,18103.78986,106403.8301,582.9178287,913.8040443
Megaceryle,alcyon,Alcedinidae,Belted Kingfisher,3900,Concurrent,,Concurrent,220,330,Partial,,No,1,,Solo,,,,,night,night,night,No,No,No,1,1,143.6,short,-655.524416,2791.934824,-316.9398917,1058.474116,359.1092033,327.4973751,470.9754439,214.6973704
Toxostoma,bendirei,Mimidae,Bendire's Thrasher,7080,,,,,,Partial,,,100,,Small,,,,,,night,night,,,,,30000,222,long,261.9368478,-39.53873896,-2885.140369,-285.7810264,11340.08944,4506.47178,5642.473025,2146.832683
Thryomanes,bewickii,Troglodytidae,Bewick's Wren,7190,,,,,,Partial,,,1,,Solo,,,,,,,,,No,No,13,2,9.9,short,-2710.407542,2567.816742,773.2066127,-902.1801579,1649.970572,899.1722713,6047.28687,4550.14285
Catharus,bicknelli,Turdidae,Bicknell's Thrush,7571,Concurrent,,Concurrent,250,350,Complete,,,,,,,,,,night,night,night,Yes,Yes,Yes,1,1,43.3,long,,,,,,,,
Haematopus,bachmani,Haematopodidae,Black Oystercatcher,2870,,Concurrent,Concurrent,,,Partial,,Yes,,Small,Small,,,,,,night,night,,,,350,,12.3,short,-266.9616586,-3250.184003,0,1.90E-13,16291.3374,4648.760534,27462.76816,5081.48268
Leucosticte,atrata,Fringillidae,Black Rosy-Finch,5250,,,,,,Partial,,Yes,,,,,,Yes,,day,night,day,,,,27,27,41.7,short,1617.696304,-20098.10356,,,540747.8079,143411.3791,,
Melanitta,americana,Anatidae,Black Scoter,1630,,Concurrent,Concurrent,,,Complete,,Yes,600,,Medium,,,,Adult males migrate before adult females and young.,,night,night,Yes,,Yes,500,500,1500,long,,,,,,,,
Rynchops,niger,Laridae,Black Skimmer,800,,Concurrent,Concurrent,,,Partial,,Yes,,Medium,Medium,,,,,,night,night,,,,128,128,20.7,long,-5908.240396,15.01735187,-642.8328187,470.3061053,11947.59694,12577.80946,10708.15547,6056.069041
Cypseloides,niger,Apodidae,Black Swift,4220,,,,,,Complete,Limited residency reported,Yes,38,Medium,Medium,,,,,day,day,day,,,,650,150,935,short,,,-261.3245791,-687.0201141,,,24625.90902,16363.4458
Chlidonias,niger,Laridae,Black Tern,770,,Adults first,Adults first,,,Complete,,Sometimes,4000,Small,Small,,,,,night,day,night,,,,1000,1000,4800,long,,,821.3401375,2639.030197,,,2174.345201,3397.619254
Arenaria,melanocephala,Scolopacidae,Black Turnstone,2840,,Adults first,Adults first,,,Complete,,Yes,,Small,Small,,,,Flocks may be medium,day,,day,,,,800,800,326,long,0.679027265,9.44461976,,,21581.5434,5510.098104,,
Coragyps,atratus,Accipitridae,Black Vulture,3260,,,,,,Partial,,,10,,Small,,,Sometimes,,day,day,day,No,,No,15,15,1989,short,-3053.916681,2747.399624,-2986.551558,2781.297244,1488.630736,1965.943643,1163.229558,1357.963731
Mniotilta,varia,Parulidae,Black-and-white Warbler,6360,Adults first,,Adults first,250,330,Complete,,,,,,,,,,night,,night,,Yes,Yes,17,2,9,long,-207.0071257,2668.282942,-4660.306582,845.8523855,2430.798469,2100.120697,840.9202354,326.2590907
Pluvialis,squatarola,Charadriidae,Black-bellied Plover,2700,,Concurrent,Concurrent,,,Complete,,Yes,,Small,Small,,,,,night,,night,Yes,,Yes,3,3,12.8,short,-4239.720775,-366.4112052,,,14264.50178,6823.2809,,
Dendrocygna,autumnalis,Anatidae,Black-bellied Whistling Duck,1770,,Concurrent,Concurrent,,,Partial,,Yes,,Large,Large,Tight,Yes,,,night,,night,Yes,,Yes,10000,2100,1426,long,25452.66961,-7248.968061,6944.16944,1619.107714,444101.6171,288468.3736,1427.962971,12707.88673
Coccyzus,erythropthalmus,Cuculidae,Black-billed Cuckoo,3880,Concurrent,,Concurrent,220,290,Complete,,No,500,,Solo,,,,,night,night,night,No,Yes,No,5000,5000,27.4,long,,,2374.349279,1429.209125,,,1381.907434,1238.130449
Vireo,atricapilla,Vireonidae,Black-capped Vireo,6300,,Juveniles first,Juveniles first,,,Complete,,No,,,Solo,,,,,night,,night,,No,No,40,,16.4,short,,,35.35929697,-4.644289498,,,2177.21048,7616.497937
Archilochus,alexandri,Trochilidae,Black-chinned Hummingbird,4290,Adults first,Concurrent,Concurrent,220,300,Partial,,No,1,,Solo,,,,,day,,day,,No,No,1,1,3.25,long,4495.445344,388.1844018,588.0445686,891.4019852,3383.433313,9342.645696,1242.073873,1094.687078
Spizella,atrogularis,Passerellidae,Black-chinned Sparrow,5650,,,,,,Partial,,Yes,,Small,Small,,,,,,night,night,,,,26,1,71.6,short,-267.2586823,270.7941866,1875.118148,-1043.210796,9532.489029,6693.267984,5574.239959,2151.69797
Nycticorax,nycticorax,Ardeidae,Black-crowned Night-Heron,2020,,,,,,Partial,,Sometimes,50000,Small,Small,,,,,night,day,night,Yes,,Yes,800,800,35.1,long,,,-804.5373677,-11265.34522,,,2755.781537,1693.484963
Pheucticus,melanocephalus,Cardinalidae,Black-headed Grosbeak,5960,Adults first,,Adults first,230,350,Partial,,Yes,30,,Small,,,Sometimes,,,night,night,,,,18,18,92.1,long,-20560.21509,12271.01508,-18.09169116,5945.543464,6118.675141,7914.120058,1704.020494,601.5552022
Rissa,tridactyla,Laridae,Black-legged Kittiwake,400,,Concurrent,Concurrent,,,Partial,,Yes,,Small,Small,,,,,,night,night,,,,12,12,35.2,long,,,1.45E-13,0,,,58467.903,34238.7335
Himantopus,mexicanus,Recurvirostridae,Black-necked Stilt,2260,,,,,,Partial,,Yes,5000,,Large,,Sometimes,,,,night,night,,,,289,289,24.1,long,-11330.8263,4219.319098,6713.155665,-1334.774392,5897.952642,12960.29969,3147.392349,5321.868899
Setophaga,caerulescens,Parulidae,Black-throated Blue Warbler,6540,Adults first,,Adults first,240,320,Complete,,Yes,,Small,Small,Loose,,,Mixed Species flocks,night,,night,,Yes,Yes,,1,12.8,long,,,79.61914926,1994.661607,,,1781.177543,650.8952372
Setophaga,nigrescens,Parulidae,Black-throated Gray Warbler,6650,Adults first,,Adults first,230,350,Complete,,Yes,,,,,,,Mixed Species flocks,night,,night,,,,50,3,10.4,long,-6594.343139,5189.507024,-1406.073251,2529.629382,8057.504605,5563.893823,9150.291941,3288.505729
Setophaga,virens,Parulidae,Black-throated Green Warbler,6670,,,,,,Complete,,Yes,,,,,,,Mixed Species flocks,night,night,night,,Yes,Yes,,1,12.3,long,1684.533955,-329.806776,701.3097499,741.3376112,4445.408291,9685.407908,886.0871756,420.2570936
Amphispiza,bilineata,Passerellidae,Black-throated Sparrow,5730,,Concurrent,Concurrent,,,Partial,,Yes,7,,Small,,,,,,night,night,,,,28,13,15.5,long,-24.00405158,658.6492329,-2518.919466,3493.35692,5240.672605,4370.797229,3178.447251,1154.430292
Vireo,altiloquus,Vireonidae,Black-whiskered Vireo,6230,,,,,,Partial,,Yes,,,,,,Sometimes,,night,night,night,,No,No,,,8.5,short,,,-6.37E-13,-4.36E-13,,,6574.861344,5975.594779
Setophaga,fusca,Parulidae,Blackburnian Warbler,6620,Adults first,Concurrent,Concurrent,210,350,Complete,,Yes,,,,,,,Mixed Species flocks,night,night,night,,Yes,Yes,40,9,8.35,long,,,1038.54702,990.4838332,,,1156.190499,688.8769503
Setophaga,striata,Parulidae,Blackpoll Warbler,6610,Concurrent,,Concurrent,230,310,Complete,,Yes,,Small,Small,,,,,night,,night,Yes,Yes,Yes,30,3,10.8,long,,,8257.495865,1890.223867,,,6639.10204,4297.817578
Passerina,caerulea,Cardinalidae,Blue Grosbeak,5970,Adults first,,Adults first,250,340,Partial,,Yes,1,Small,Small,,,,,night,night,night,,Yes,Yes,,250000,28.1,long,-3822.500928,1126.076875,-668.6717216,942.9681314,21702.62386,17417.0903,398.8640087,224.6745154
Polioptila,caerulea,Polioptilidae,Blue-gray Gnatcatcher,7510,Concurrent,,Concurrent,220,330,Partial,,,,,,,,,,day,night,day,,No,No,9,,140,long,,,-245.2418218,816.334472,,,479.1883093,251.2766243
Vireo,solitarius,Vireonidae,Blue-headed Vireo,6290,Concurrent,,Concurrent,250,350,Complete,,No,,,Solo,,,,,night,night,night,,No,No,,2,12.1,short,,,-717.5598678,552.2312382,,,1427.669438,542.5065966
Spatula,discors,Anatidae,Blue-winged Teal,1400,Concurrent,Concurrent,Concurrent,220,300,Complete,Pottentially limited residency,Yes,15,Small,Small,Tight,,,Adult males migrate before adult females and young.,night,day,night,Yes,,Yes,510,510,31.2,short,-2870.897657,-1552.00477,-1133.749135,1692.234542,129439.1666,741275.1377,924.7511374,1845.211326
Vermivora,cyanoptera,Parulidae,Blue-winged Warbler,6410,Adults first,,Adults first,240,350,Complete,,,,,,,,,,night,night,night,,Yes,Yes,30,11,8.9,long,,,-6324.166999,-2661.757034,,,2079.344266,394.2037031
Dolichonyx,oryzivorus,Icteridae,Bobolink,4940,Concurrent,,Concurrent,230,290,Complete,,Yes,60,Large,Large,,,,,night,night,night,Yes,Yes,Yes,50,50,14.3,short,,,-9869.447981,325.6243079,,,770.1681504,501.4312196
Bombycilla,garrulus,Bombycillidae,Bohemian Waxwing,6180,,,,,,Partial,,Yes,40,Medium,Medium,,,,Small and large flocks also noted,day,,day,Yes,Yes,Yes,1,1,22.1,short,,,-1.08E-12,-1.48E-12,,,71089.02449,79508.27429
Chroicocephalus,philadelphia,Laridae,Bonaparte's Gull,600,,,,,,Complete,,Yes,25,Large,Large,,No,,Juveniles take different route,day,,day,No,,No,12,12,554.9,short,,,-6582.286924,1640.913171,,,11291.46473,16935.11931
Branta,bernicla,Anatidae,Brant,1730,,Concurrent,Concurrent,,,Complete,,Yes,50,Small,Small,Tight,,,,night,,night,Yes,,Yes,15000,4915,1252,long,-20979.98978,8640.214693,,,46399.61966,7445.837631,,
Euphagus,cyanocephalus,Icteridae,Brewer's Blackbird,5100,,,,,,Partial,,Yes,,,,,,,,day,day,day,Yes,Yes,Yes,1000,1000,16.3,short,3005.569718,363.1488677,1845.583975,1909.259534,5648.478545,1243.171196,909.9511272,422.9274209
Spizella,breweri,Passerellidae,Brewer's Sparrow,5620,Concurrent,,Concurrent,150,300,Complete,,Yes,150,Small,Small,,,,,night,day,night,,,,2,2,112.7,short,-1063.178519,1519.318058,-1085.13713,-307.5772916,29766.62519,16357.20788,1806.311277,473.5536174
Numenius,tahitiensis,Scolopacidae,Bristle-thighed Curlew,2680,,Adults first,Adults first,,,Complete,,Yes,,Small,Small,,,,,night,,night,,,,350,350,176,short,,,,,,,,
Selasphorus,platycercus,Trochilidae,Broad-tailed Hummingbird,4320,Adults first,,Adults first,210,300,Partial,,,,,,,,,,day,,day,,No,No,,1,3.2,short,-11434.30018,7955.310565,177.1274773,453.4491504,7333.378387,18445.17959,1385.201488,505.3770187
Buteo,platypterus,Accipitridae,Broad-winged Hawk,3430,Juveniles first,Concurrent,Concurrent,250,350,Complete,,Yes,5000,Large,Large,,,,,day,day,day,No,,No,1,1,357,long,-11517.4457,-85.80897893,430.8191782,450.5219327,9490.850935,17711.27847,716.5123776,356.207989
Certhia,americana,Certhiidae,Brown Creeper,7260,Concurrent,,Concurrent,250,330,Partial,,Yes,50,Small,Small,,,,,night,,night,No,No,No,200,200,153,short,-5299.578805,5318.885102,7158.79417,2948.268436,562.0841852,378.4216038,1689.262619,558.9834806
Pelecanus,occidentalis,Pelecanidae,Brown Pelican,1260,,,,,,Partial,,Yes,,Medium,Medium,,,,,day,night,day,No,,No,1,1,59.2,short,-10004.84846,4666.565618,-2687.908922,2882.400773,8056.963718,7929.891295,10150.65522,9137.175754
Toxostoma,rufum,Mimidae,Brown Thrasher,7050,Adults first,,Adults first,250,350,Partial,,,10,,Small,,,,,night,,night,,No,No,50000,9000,1147,long,2549.913405,3170.555181,304.3554648,-3253.553629,775.0036129,898.7665092,207.8811717,179.0890382
Molothrus,ater,Icteridae,Brown-headed Cowbird,4950,Concurrent,,Concurrent,200,350,Partial,,Yes,,,,,,,,day,day,day,,Yes,Yes,1000,,22.3,short,,,-1627.192548,1298.346574,,,169.8601266,147.0260552
Calidris,subruficollis,Scolopacidae,Buff-breasted Sandpiper,2620,,,,,,Complete,,Sometimes,,Small,Small,,,,,night,night,night,,,,16,16,207.8,long,,,,,,,,
Bucephala,albeola,Anatidae,Bufflehead,1530,,Concurrent,Concurrent,,,Complete,,Yes,1200,Large,Large,Tight,,,,night,night,night,,,,7000,7000,3232,long,798.3508671,4198.292406,2240.587389,660.5693028,48762.2814,11317.76003,4833.247316,5109.002926
Icterus,bullockii,Icteridae,Bullock's Oriole,5080,,,,,,Complete,Very limited residency reported,Yes,,Small,Small,,,,,night,,night,No,,No,200,200,14.7,short,,,681.8071375,2097.624101,,,775.0689342,332.0065658
Athene,cunicularia,Strigidae,Burrowing Owl,3780,,,,,,Partial,,,,,,,,,,,night,night,,No,No,30,30,30,long,-5436.667271,443.888536,-689.4745443,-1280.964703,5622.399855,3830.240387,1724.193712,754.6951553
Larus,californicus,Laridae,California Gull,530,,Juveniles first,Juveniles first,,,Complete,Very limited residency reported,No,6,,Solo,,Sometimes,,,day,,day,No,,No,200,200,14.4,long,,,2790.25449,-2924.862016,,,10553.64366,2459.489541
Stellula,calliope,Trochilidae,Calliope Hummingbird,4360,Adults first,Adults first,Adults first,180,280,Complete,,No,1,,Solo,,,,,day,,day,,No,No,1,1,2.68,long,,,-404.9087634,-2248.799136,,,5154.045648,3261.151218
Branta,canadensis,Anatidae,Canada Goose,1720,,Concurrent,Concurrent,,,Partial,,Yes,150,Medium,Medium,Tight,,,Flock size varies greatly,night,night,night,Yes,,Yes,2900,2900,1519,long,,,10981.21317,1122.059972,,,9268.908163,2498.603128
Cardellina,canadensis,Parulidae,Canada Warbler,6860,Adults first,Juveniles first,Juveniles first,200,330,Complete,,Sometimes,300,Small,Small,,,,,night,,night,,Yes,Yes,50000,22450,566,long,,,-6774.794703,408.4180562,,,1925.097405,928.2469124
Aythya,valisineria,Anatidae,Canvasback,1470,Concurrent,Concurrent,Concurrent,220,350,Complete,,Yes,350,Small,Small,Tight,,,Adult males migrate before adult females and young.,,night,night,,,,15000,15000,1054,long,,,1513.531138,-733.6913845,,,3638.480077,6555.527243
Setophaga,tigrina,Parulidae,Cape May Warbler,6500,Adults first,Adults first,Adults first,200,320,Complete,,Yes,,Small,Small,,,,Mixed Species flocks,night,,night,,Yes,Yes,1,1,15.32,long,,,-511.7945309,633.605891,,,5595.431247,5332.078584
Hydroprogne,caspia,Laridae,Caspian Tern,640,,Concurrent,Concurrent,,,Partial,,Sometimes,1000,Small,Small,,Yes,,Flocks may be medium,day,day,day,Yes,,Yes,2000,2000,23.9,long,-11076.90324,2452.029625,-2958.43598,4268.463681,12754.38867,9770.203883,5546.902028,3438.723948
Haemorhous,cassinii,Fringillidae,Cassin's Finch,5180,,Adults first,Adults first,,,Partial,,Yes,,,,,,Sometimes,,,,,,,,,,17.8,short,-4359.830011,1252.831931,-136.4024801,-4071.26713,22081.7134,6408.078758,4358.493018,2127.004786
Tyrannus,vociferans,Tyrannidae,Cassin's Kingbird,4480,,,,,,Partial,,Sometimes,,Small,Small,,,,,day,night,day,,,,,2,39.2,short,60.85856986,-41.75613977,2486.222899,582.476113,13080.9245,857.3442142,3698.840852,2195.341256
Peucaea,cassinii,Passerellidae,Cassin's Sparrow,5780,,,,,,Partial,,,,,,,,,,night,,night,,No,No,8363,8363,3290,short,-1864.080427,-634.333775,-520.2824135,1065.573734,5285.124227,7880.983432,1698.467873,1571.980295
Vireo,cassinii,Vireonidae,Cassin's Vireo,6291,,,,,,Partial,,,,,,,,,,,night,night,,,,26,2,12.5,short,,,-389.5290938,-3928.046015,,,2611.892541,1402.042724
